Time point: 63.0 | Happiness: 1.0
Time point: 87.0 | Happiness: 2.0
Time point: 103.0 | Happiness: 3.0
Time point: 119.0 | Happiness: 4.0
Time point: 134.0 | Happiness: 5.0
Time point: 165.0 | Happiness: 6.0
Time point: 181.0 | Happiness: 7.0
Time point: 197.0 | Happiness: 8.0
Time point: 213.0 | Happiness: 9.0
Time point: 238.0 | Happiness: 10.0
Time point: 254.0 | Happiness: 11.0
Time point: 273.0 | Happiness: 12.0
Time point: 289.0 | Happiness: 13.0
Time point: 307.0 | Happiness: 14.0
Time point: 324.0 | Happiness: 15.0
Time point: 339.0 | Happiness: 16.0
Time point: 354.0 | Happiness: 17.0
Time point: 374.0 | Happiness: 18.0
Time point: 393.0 | Happiness: 19.0
Time point: 417.0 | Happiness: 20.0
Time point: 434.0 | Happiness: 21.0
Time point: 453.0 | Happiness: 22.0
Time point: 468.0 | Happiness: 23.0
Time point: 484.0 | Happiness: 24.0
Time point: 500.0 | Happiness: 25.0
Time point: 531.0 | Happiness: 26.0
Time point: 547.0 | Happiness: 27.0
Time point: 566.0 | Happiness: 28.0
Time point: 581.0 | Happiness: 29.0
Time point: 597.0 | Happiness: 30.0
Time point: 613.0 | Happiness: 31.0
Time point: 628.0 | Happiness: 32.0
Time point: 644.0 | Happiness: 33.0
Time point: 668.0 | Happiness: 34.0
Time point: 694.0 | Happiness: 35.0
Time point: 723.0 | Happiness: 36.0
Time point: 739.0 | Happiness: 37.0
Time point: 755.0 | Happiness: 38.0
Time point: 770.0 | Happiness: 39.0
Time point: 786.0 | Happiness: 40.0
Time point: 806.0 | Happiness: 41.0
Time point: 837.0 | Happiness: 42.0
Time point: 853.0 | Happiness: 43.0
Time point: 883.0 | Happiness: 44.0
Time point: 909.0 | Happiness: 45.0
Time point: 934.0 | Happiness: 46.0
Time point: 957.0 | Happiness: 47.0
Time point: 988.0 | Happiness: 48.0
Time point: 1003.0 | Happiness: 49.0
