Time point: 271.0 | PatientsSeen: 1.0
Time point: 456.0 | PatientsSeen: 2.0
Time point: 642.0 | PatientsSeen: 3.0
Time point: 828.0 | PatientsSeen: 4.0
Time point: 1013.0 | PatientsSeen: 5.0
Time point: 1199.0 | PatientsSeen: 6.0
Time point: 1385.0 | PatientsSeen: 7.0
Time point: 1571.0 | PatientsSeen: 8.0
Time point: 1756.0 | PatientsSeen: 9.0
Time point: 1941.0 | PatientsSeen: 10.0
Time point: 2127.0 | PatientsSeen: 11.0
Time point: 2313.0 | PatientsSeen: 12.0
Time point: 2499.0 | PatientsSeen: 13.0
Time point: 2685.0 | PatientsSeen: 14.0
Time point: 2871.0 | PatientsSeen: 15.0
Time point: 3057.0 | PatientsSeen: 16.0
Time point: 3243.0 | PatientsSeen: 17.0
Time point: 3428.0 | PatientsSeen: 18.0
