Time point: 277.0 | PatientsSeen: 1.0
Time point: 322.0 | PatientsSeen: 2.0
Time point: 365.0 | PatientsSeen: 3.0
Time point: 424.0 | PatientsSeen: 4.0
Time point: 486.0 | PatientsSeen: 5.0
Time point: 552.0 | PatientsSeen: 6.0
Time point: 595.0 | PatientsSeen: 7.0
Time point: 689.0 | PatientsSeen: 8.0
Time point: 731.0 | PatientsSeen: 9.0
Time point: 782.0 | PatientsSeen: 10.0
Time point: 842.0 | PatientsSeen: 11.0
Time point: 884.0 | PatientsSeen: 12.0
Time point: 928.0 | PatientsSeen: 13.0
Time point: 975.0 | PatientsSeen: 14.0
Time point: 1032.0 | PatientsSeen: 15.0
Time point: 1094.0 | PatientsSeen: 16.0
Time point: 1159.0 | PatientsSeen: 17.0
Time point: 1221.0 | PatientsSeen: 18.0
Time point: 1284.0 | PatientsSeen: 19.0
Time point: 1347.0 | PatientsSeen: 20.0
Time point: 1410.0 | PatientsSeen: 21.0
Time point: 1473.0 | PatientsSeen: 22.0
