Time point: 258.0 | PatientsSeen: 1.0
Time point: 467.0 | PatientsSeen: 2.0
Time point: 677.0 | PatientsSeen: 3.0
Time point: 887.0 | PatientsSeen: 4.0
Time point: 1097.0 | PatientsSeen: 5.0
Time point: 1307.0 | PatientsSeen: 6.0
Time point: 1517.0 | PatientsSeen: 7.0
Time point: 1726.0 | PatientsSeen: 8.0
Time point: 1936.0 | PatientsSeen: 9.0
Time point: 2146.0 | PatientsSeen: 10.0
Time point: 2354.0 | PatientsSeen: 11.0
Time point: 2564.0 | PatientsSeen: 12.0
Time point: 2774.0 | PatientsSeen: 13.0
Time point: 2984.0 | PatientsSeen: 14.0
Time point: 3193.0 | PatientsSeen: 15.0
Time point: 3403.0 | PatientsSeen: 16.0
Time point: 3613.0 | PatientsSeen: 17.0
Time point: 3821.0 | PatientsSeen: 18.0
Time point: 4032.0 | PatientsSeen: 19.0
Time point: 4243.0 | PatientsSeen: 20.0
Time point: 4453.0 | PatientsSeen: 21.0
Time point: 4664.0 | PatientsSeen: 22.0
Time point: 4872.0 | PatientsSeen: 23.0
Time point: 5082.0 | PatientsSeen: 24.0
Time point: 5291.0 | PatientsSeen: 25.0
Time point: 5502.0 | PatientsSeen: 26.0
Time point: 5713.0 | PatientsSeen: 27.0
Time point: 5922.0 | PatientsSeen: 28.0
