Time point: 259.0 | PatientsSeen: 1.0
Time point: 468.0 | PatientsSeen: 2.0
Time point: 236.0 | PatientsSeen: 1.0
Time point: 446.0 | PatientsSeen: 2.0
Time point: 657.0 | PatientsSeen: 3.0
Time point: 867.0 | PatientsSeen: 4.0
Time point: 1083.0 | PatientsSeen: 5.0
Time point: 1294.0 | PatientsSeen: 6.0
Time point: 1505.0 | PatientsSeen: 7.0
Time point: 1716.0 | PatientsSeen: 8.0
Time point: 1928.0 | PatientsSeen: 9.0
Time point: 2139.0 | PatientsSeen: 10.0
Time point: 2354.0 | PatientsSeen: 11.0
Time point: 2565.0 | PatientsSeen: 12.0
