Time point: 229.0 | PatientsSeen: 1.0
Time point: 438.0 | PatientsSeen: 2.0
Time point: 649.0 | PatientsSeen: 3.0
Time point: 862.0 | PatientsSeen: 4.0
Time point: 1072.0 | PatientsSeen: 5.0
Time point: 1285.0 | PatientsSeen: 6.0
Time point: 1496.0 | PatientsSeen: 7.0
Time point: 1707.0 | PatientsSeen: 8.0
Time point: 1918.0 | PatientsSeen: 9.0
Time point: 2129.0 | PatientsSeen: 10.0
Time point: 2342.0 | PatientsSeen: 11.0
Time point: 2558.0 | PatientsSeen: 12.0
Time point: 2770.0 | PatientsSeen: 13.0
Time point: 2982.0 | PatientsSeen: 14.0
Time point: 3193.0 | PatientsSeen: 15.0
Time point: 3401.0 | PatientsSeen: 16.0
Time point: 3615.0 | PatientsSeen: 17.0
Time point: 3830.0 | PatientsSeen: 18.0
Time point: 4042.0 | PatientsSeen: 19.0
Time point: 4254.0 | PatientsSeen: 20.0
Time point: 4464.0 | PatientsSeen: 21.0
Time point: 4679.0 | PatientsSeen: 22.0
Time point: 4891.0 | PatientsSeen: 23.0
