Time point: 128.0 | PatientsSeen: 1.0
Time point: 192.0 | PatientsSeen: 2.0
Time point: 240.0 | PatientsSeen: 3.0
Time point: 298.0 | PatientsSeen: 4.0
Time point: 340.0 | PatientsSeen: 5.0
Time point: 402.0 | PatientsSeen: 6.0
Time point: 465.0 | PatientsSeen: 7.0
Time point: 529.0 | PatientsSeen: 8.0
Time point: 591.0 | PatientsSeen: 9.0
Time point: 685.0 | PatientsSeen: 10.0
Time point: 739.0 | PatientsSeen: 11.0
Time point: 802.0 | PatientsSeen: 12.0
Time point: 863.0 | PatientsSeen: 13.0
Time point: 927.0 | PatientsSeen: 14.0
Time point: 990.0 | PatientsSeen: 15.0
Time point: 1054.0 | PatientsSeen: 16.0
Time point: 1117.0 | PatientsSeen: 17.0
Time point: 1180.0 | PatientsSeen: 18.0
Time point: 1243.0 | PatientsSeen: 19.0
Time point: 1306.0 | PatientsSeen: 20.0
Time point: 1369.0 | PatientsSeen: 21.0
Time point: 1431.0 | PatientsSeen: 22.0
Time point: 1495.0 | PatientsSeen: 23.0
