Time point: 238.0 | PatientsSeen: 1.0
Time point: 448.0 | PatientsSeen: 2.0
Time point: 659.0 | PatientsSeen: 3.0
Time point: 869.0 | PatientsSeen: 4.0
Time point: 1078.0 | PatientsSeen: 5.0
Time point: 1288.0 | PatientsSeen: 6.0
Time point: 1499.0 | PatientsSeen: 7.0
Time point: 1709.0 | PatientsSeen: 8.0
Time point: 1919.0 | PatientsSeen: 9.0
Time point: 2128.0 | PatientsSeen: 10.0
Time point: 2339.0 | PatientsSeen: 11.0
Time point: 2549.0 | PatientsSeen: 12.0
Time point: 2759.0 | PatientsSeen: 13.0
Time point: 2969.0 | PatientsSeen: 14.0
Time point: 3179.0 | PatientsSeen: 15.0
Time point: 3389.0 | PatientsSeen: 16.0
Time point: 3598.0 | PatientsSeen: 17.0
Time point: 3807.0 | PatientsSeen: 18.0
Time point: 4019.0 | PatientsSeen: 19.0
Time point: 4230.0 | PatientsSeen: 20.0
Time point: 4441.0 | PatientsSeen: 21.0
Time point: 4651.0 | PatientsSeen: 22.0
Time point: 4860.0 | PatientsSeen: 23.0
Time point: 5070.0 | PatientsSeen: 24.0
Time point: 5281.0 | PatientsSeen: 25.0
Time point: 5492.0 | PatientsSeen: 26.0
Time point: 5702.0 | PatientsSeen: 27.0
