Time point: 229.0 | PatientsSeen: 1.0
Time point: 414.0 | PatientsSeen: 2.0
Time point: 600.0 | PatientsSeen: 3.0
Time point: 786.0 | PatientsSeen: 4.0
Time point: 972.0 | PatientsSeen: 5.0
Time point: 1158.0 | PatientsSeen: 6.0
Time point: 1344.0 | PatientsSeen: 7.0
Time point: 1530.0 | PatientsSeen: 8.0
Time point: 1716.0 | PatientsSeen: 9.0
Time point: 1901.0 | PatientsSeen: 10.0
Time point: 2086.0 | PatientsSeen: 11.0
Time point: 2271.0 | PatientsSeen: 12.0
Time point: 2457.0 | PatientsSeen: 13.0
Time point: 2643.0 | PatientsSeen: 14.0
Time point: 2828.0 | PatientsSeen: 15.0
Time point: 3013.0 | PatientsSeen: 16.0
Time point: 3199.0 | PatientsSeen: 17.0
Time point: 3385.0 | PatientsSeen: 18.0
Time point: 3571.0 | PatientsSeen: 19.0
Time point: 3757.0 | PatientsSeen: 20.0
Time point: 3943.0 | PatientsSeen: 21.0
Time point: 4128.0 | PatientsSeen: 22.0
Time point: 4314.0 | PatientsSeen: 23.0
Time point: 4500.0 | PatientsSeen: 24.0
Time point: 4685.0 | PatientsSeen: 25.0
Time point: 4871.0 | PatientsSeen: 26.0
Time point: 5056.0 | PatientsSeen: 27.0
Time point: 5242.0 | PatientsSeen: 28.0
