Time point: 210.0 | PatientsSeen: 1.0
Time point: 396.0 | PatientsSeen: 2.0
Time point: 581.0 | PatientsSeen: 3.0
Time point: 766.0 | PatientsSeen: 4.0
Time point: 952.0 | PatientsSeen: 5.0
Time point: 1137.0 | PatientsSeen: 6.0
Time point: 1323.0 | PatientsSeen: 7.0
Time point: 1509.0 | PatientsSeen: 8.0
Time point: 1695.0 | PatientsSeen: 9.0
Time point: 1881.0 | PatientsSeen: 10.0
Time point: 2067.0 | PatientsSeen: 11.0
Time point: 2253.0 | PatientsSeen: 12.0
Time point: 2439.0 | PatientsSeen: 13.0
Time point: 2625.0 | PatientsSeen: 14.0
Time point: 2811.0 | PatientsSeen: 15.0
Time point: 2997.0 | PatientsSeen: 16.0
Time point: 3183.0 | PatientsSeen: 17.0
Time point: 3368.0 | PatientsSeen: 18.0
Time point: 3554.0 | PatientsSeen: 19.0
Time point: 3739.0 | PatientsSeen: 20.0
Time point: 3925.0 | PatientsSeen: 21.0
Time point: 4111.0 | PatientsSeen: 22.0
Time point: 4297.0 | PatientsSeen: 23.0
Time point: 4483.0 | PatientsSeen: 24.0
Time point: 4669.0 | PatientsSeen: 25.0
Time point: 4854.0 | PatientsSeen: 26.0
Time point: 5039.0 | PatientsSeen: 27.0
Time point: 5225.0 | PatientsSeen: 28.0
Time point: 5411.0 | PatientsSeen: 29.0
Time point: 5597.0 | PatientsSeen: 30.0
Time point: 5782.0 | PatientsSeen: 31.0
Time point: 5968.0 | PatientsSeen: 32.0
Time point: 6154.0 | PatientsSeen: 33.0
Time point: 6340.0 | PatientsSeen: 34.0
Time point: 6526.0 | PatientsSeen: 35.0
Time point: 6712.0 | PatientsSeen: 36.0
Time point: 6898.0 | PatientsSeen: 37.0
Time point: 7083.0 | PatientsSeen: 38.0
Time point: 7269.0 | PatientsSeen: 39.0
