Time point: 215.0 | PatientsSeen: 1.0
Time point: 401.0 | PatientsSeen: 2.0
Time point: 587.0 | PatientsSeen: 3.0
Time point: 773.0 | PatientsSeen: 4.0
Time point: 959.0 | PatientsSeen: 5.0
Time point: 1145.0 | PatientsSeen: 6.0
Time point: 1331.0 | PatientsSeen: 7.0
Time point: 1517.0 | PatientsSeen: 8.0
Time point: 1703.0 | PatientsSeen: 9.0
Time point: 1889.0 | PatientsSeen: 10.0
Time point: 2075.0 | PatientsSeen: 11.0
Time point: 2261.0 | PatientsSeen: 12.0
Time point: 2447.0 | PatientsSeen: 13.0
Time point: 2633.0 | PatientsSeen: 14.0
Time point: 2819.0 | PatientsSeen: 15.0
Time point: 3005.0 | PatientsSeen: 16.0
Time point: 3191.0 | PatientsSeen: 17.0
