Time point: 224.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1063.0 | PatientsSeen: 5.0
Time point: 1274.0 | PatientsSeen: 6.0
Time point: 1485.0 | PatientsSeen: 7.0
Time point: 1695.0 | PatientsSeen: 8.0
Time point: 1904.0 | PatientsSeen: 9.0
Time point: 2115.0 | PatientsSeen: 10.0
Time point: 2325.0 | PatientsSeen: 11.0
Time point: 2535.0 | PatientsSeen: 12.0
Time point: 2746.0 | PatientsSeen: 13.0
Time point: 2956.0 | PatientsSeen: 14.0
Time point: 3166.0 | PatientsSeen: 15.0
Time point: 3376.0 | PatientsSeen: 16.0
Time point: 3586.0 | PatientsSeen: 17.0
Time point: 3795.0 | PatientsSeen: 18.0
Time point: 4005.0 | PatientsSeen: 19.0
Time point: 4215.0 | PatientsSeen: 20.0
Time point: 4426.0 | PatientsSeen: 21.0
