Time point: 225.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1273.0 | PatientsSeen: 6.0
Time point: 1483.0 | PatientsSeen: 7.0
Time point: 1692.0 | PatientsSeen: 8.0
Time point: 1903.0 | PatientsSeen: 9.0
Time point: 2112.0 | PatientsSeen: 10.0
Time point: 2321.0 | PatientsSeen: 11.0
Time point: 2530.0 | PatientsSeen: 12.0
Time point: 2739.0 | PatientsSeen: 13.0
Time point: 2948.0 | PatientsSeen: 14.0
Time point: 3158.0 | PatientsSeen: 15.0
Time point: 3367.0 | PatientsSeen: 16.0
Time point: 3576.0 | PatientsSeen: 17.0
Time point: 3786.0 | PatientsSeen: 18.0
Time point: 3996.0 | PatientsSeen: 19.0
Time point: 4207.0 | PatientsSeen: 20.0
Time point: 4417.0 | PatientsSeen: 21.0
Time point: 4627.0 | PatientsSeen: 22.0
Time point: 4836.0 | PatientsSeen: 23.0
Time point: 5047.0 | PatientsSeen: 24.0
Time point: 5255.0 | PatientsSeen: 25.0
Time point: 5465.0 | PatientsSeen: 26.0
Time point: 5674.0 | PatientsSeen: 27.0
