Time point: 293.0 | PatientsSeen: 1.0
Time point: 334.0 | PatientsSeen: 2.0
Time point: 376.0 | PatientsSeen: 3.0
Time point: 418.0 | PatientsSeen: 4.0
Time point: 459.0 | PatientsSeen: 5.0
Time point: 501.0 | PatientsSeen: 6.0
Time point: 543.0 | PatientsSeen: 7.0
Time point: 585.0 | PatientsSeen: 8.0
Time point: 626.0 | PatientsSeen: 9.0
Time point: 668.0 | PatientsSeen: 10.0
Time point: 709.0 | PatientsSeen: 11.0
Time point: 752.0 | PatientsSeen: 12.0
Time point: 795.0 | PatientsSeen: 13.0
Time point: 837.0 | PatientsSeen: 14.0
Time point: 879.0 | PatientsSeen: 15.0
Time point: 919.0 | PatientsSeen: 16.0
Time point: 961.0 | PatientsSeen: 17.0
Time point: 1002.0 | PatientsSeen: 18.0
