Time point: 662.0 | PatientsSeen: 1.0
Time point: 1288.0 | PatientsSeen: 2.0
Time point: 1913.0 | PatientsSeen: 3.0
Time point: 2537.0 | PatientsSeen: 4.0
Time point: 3162.0 | PatientsSeen: 5.0
Time point: 3786.0 | PatientsSeen: 6.0
Time point: 4410.0 | PatientsSeen: 7.0
Time point: 5035.0 | PatientsSeen: 8.0
Time point: 5660.0 | PatientsSeen: 9.0
Time point: 6283.0 | PatientsSeen: 10.0
Time point: 6906.0 | PatientsSeen: 11.0
Time point: 7530.0 | PatientsSeen: 12.0
Time point: 8154.0 | PatientsSeen: 13.0
Time point: 8780.0 | PatientsSeen: 14.0
Time point: 9405.0 | PatientsSeen: 15.0
Time point: 10028.0 | PatientsSeen: 16.0
Time point: 257.0 | PatientsSeen: 1.0
Time point: 466.0 | PatientsSeen: 2.0
Time point: 675.0 | PatientsSeen: 3.0
