Time point: 241.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1082.0 | PatientsSeen: 5.0
Time point: 1290.0 | PatientsSeen: 6.0
Time point: 1501.0 | PatientsSeen: 7.0
Time point: 1711.0 | PatientsSeen: 8.0
Time point: 1922.0 | PatientsSeen: 9.0
Time point: 2132.0 | PatientsSeen: 10.0
Time point: 2341.0 | PatientsSeen: 11.0
Time point: 2551.0 | PatientsSeen: 12.0
Time point: 2762.0 | PatientsSeen: 13.0
Time point: 2972.0 | PatientsSeen: 14.0
Time point: 3183.0 | PatientsSeen: 15.0
Time point: 3393.0 | PatientsSeen: 16.0
