Time point: 259.0 | PatientsSeen: 1.0
Time point: 469.0 | PatientsSeen: 2.0
Time point: 679.0 | PatientsSeen: 3.0
Time point: 890.0 | PatientsSeen: 4.0
Time point: 1100.0 | PatientsSeen: 5.0
Time point: 1311.0 | PatientsSeen: 6.0
Time point: 1520.0 | PatientsSeen: 7.0
Time point: 1730.0 | PatientsSeen: 8.0
Time point: 1939.0 | PatientsSeen: 9.0
Time point: 2149.0 | PatientsSeen: 10.0
Time point: 2358.0 | PatientsSeen: 11.0
Time point: 2566.0 | PatientsSeen: 12.0
Time point: 2777.0 | PatientsSeen: 13.0
Time point: 2985.0 | PatientsSeen: 14.0
Time point: 3195.0 | PatientsSeen: 15.0
Time point: 3406.0 | PatientsSeen: 16.0
Time point: 3617.0 | PatientsSeen: 17.0
Time point: 3827.0 | PatientsSeen: 18.0
Time point: 4036.0 | PatientsSeen: 19.0
Time point: 4245.0 | PatientsSeen: 20.0
Time point: 4454.0 | PatientsSeen: 21.0
Time point: 4664.0 | PatientsSeen: 22.0
Time point: 4872.0 | PatientsSeen: 23.0
Time point: 5082.0 | PatientsSeen: 24.0
Time point: 5293.0 | PatientsSeen: 25.0
Time point: 5503.0 | PatientsSeen: 26.0
