Time point: 253.0 | PatientsSeen: 1.0
Time point: 462.0 | PatientsSeen: 2.0
Time point: 674.0 | PatientsSeen: 3.0
Time point: 885.0 | PatientsSeen: 4.0
Time point: 1096.0 | PatientsSeen: 5.0
Time point: 1306.0 | PatientsSeen: 6.0
Time point: 1518.0 | PatientsSeen: 7.0
Time point: 1729.0 | PatientsSeen: 8.0
Time point: 1940.0 | PatientsSeen: 9.0
Time point: 2150.0 | PatientsSeen: 10.0
Time point: 2362.0 | PatientsSeen: 11.0
Time point: 2573.0 | PatientsSeen: 12.0
Time point: 2785.0 | PatientsSeen: 13.0
Time point: 2995.0 | PatientsSeen: 14.0
