Time point: 258.0 | PatientsSeen: 1.0
Time point: 468.0 | PatientsSeen: 2.0
Time point: 677.0 | PatientsSeen: 3.0
Time point: 886.0 | PatientsSeen: 4.0
Time point: 1096.0 | PatientsSeen: 5.0
Time point: 1306.0 | PatientsSeen: 6.0
Time point: 1516.0 | PatientsSeen: 7.0
Time point: 1725.0 | PatientsSeen: 8.0
Time point: 1936.0 | PatientsSeen: 9.0
Time point: 2147.0 | PatientsSeen: 10.0
Time point: 2357.0 | PatientsSeen: 11.0
Time point: 2565.0 | PatientsSeen: 12.0
Time point: 2773.0 | PatientsSeen: 13.0
Time point: 2984.0 | PatientsSeen: 14.0
Time point: 3194.0 | PatientsSeen: 15.0
Time point: 3404.0 | PatientsSeen: 16.0
Time point: 3614.0 | PatientsSeen: 17.0
Time point: 3824.0 | PatientsSeen: 18.0
Time point: 4034.0 | PatientsSeen: 19.0
Time point: 4243.0 | PatientsSeen: 20.0
Time point: 4453.0 | PatientsSeen: 21.0
Time point: 4664.0 | PatientsSeen: 22.0
