Time point: 225.0 | PatientsSeen: 1.0
Time point: 434.0 | PatientsSeen: 2.0
Time point: 644.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1273.0 | PatientsSeen: 6.0
Time point: 1482.0 | PatientsSeen: 7.0
Time point: 1692.0 | PatientsSeen: 8.0
Time point: 1902.0 | PatientsSeen: 9.0
Time point: 2111.0 | PatientsSeen: 10.0
Time point: 2321.0 | PatientsSeen: 11.0
Time point: 2530.0 | PatientsSeen: 12.0
Time point: 2739.0 | PatientsSeen: 13.0
Time point: 2950.0 | PatientsSeen: 14.0
Time point: 3160.0 | PatientsSeen: 15.0
Time point: 3369.0 | PatientsSeen: 16.0
Time point: 3579.0 | PatientsSeen: 17.0
Time point: 3789.0 | PatientsSeen: 18.0
