Time point: 241.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1082.0 | PatientsSeen: 5.0
Time point: 1291.0 | PatientsSeen: 6.0
Time point: 1500.0 | PatientsSeen: 7.0
Time point: 1711.0 | PatientsSeen: 8.0
Time point: 1922.0 | PatientsSeen: 9.0
Time point: 2132.0 | PatientsSeen: 10.0
Time point: 2340.0 | PatientsSeen: 11.0
Time point: 2551.0 | PatientsSeen: 12.0
Time point: 2761.0 | PatientsSeen: 13.0
Time point: 2970.0 | PatientsSeen: 14.0
Time point: 3179.0 | PatientsSeen: 15.0
