Time point: 280.0 | PatientsSeen: 1.0
Time point: 322.0 | PatientsSeen: 2.0
Time point: 364.0 | PatientsSeen: 3.0
Time point: 406.0 | PatientsSeen: 4.0
Time point: 449.0 | PatientsSeen: 5.0
Time point: 490.0 | PatientsSeen: 6.0
Time point: 532.0 | PatientsSeen: 7.0
Time point: 575.0 | PatientsSeen: 8.0
Time point: 616.0 | PatientsSeen: 9.0
Time point: 658.0 | PatientsSeen: 10.0
Time point: 700.0 | PatientsSeen: 11.0
Time point: 742.0 | PatientsSeen: 12.0
Time point: 783.0 | PatientsSeen: 13.0
Time point: 825.0 | PatientsSeen: 14.0
Time point: 866.0 | PatientsSeen: 15.0
Time point: 909.0 | PatientsSeen: 16.0
Time point: 951.0 | PatientsSeen: 17.0
Time point: 993.0 | PatientsSeen: 18.0
Time point: 1033.0 | PatientsSeen: 19.0
Time point: 1074.0 | PatientsSeen: 20.0
Time point: 1116.0 | PatientsSeen: 21.0
Time point: 1157.0 | PatientsSeen: 22.0
Time point: 1199.0 | PatientsSeen: 23.0
Time point: 1241.0 | PatientsSeen: 24.0
Time point: 1283.0 | PatientsSeen: 25.0
Time point: 1324.0 | PatientsSeen: 26.0
Time point: 1366.0 | PatientsSeen: 27.0
Time point: 1407.0 | PatientsSeen: 28.0
Time point: 1451.0 | PatientsSeen: 29.0
Time point: 1496.0 | PatientsSeen: 30.0
Time point: 1545.0 | PatientsSeen: 31.0
Time point: 1593.0 | PatientsSeen: 32.0
Time point: 1643.0 | PatientsSeen: 33.0
Time point: 1690.0 | PatientsSeen: 34.0
Time point: 1738.0 | PatientsSeen: 35.0
Time point: 1785.0 | PatientsSeen: 36.0
Time point: 1836.0 | PatientsSeen: 37.0
Time point: 1882.0 | PatientsSeen: 38.0
Time point: 1931.0 | PatientsSeen: 39.0
Time point: 1978.0 | PatientsSeen: 40.0
Time point: 2025.0 | PatientsSeen: 41.0
Time point: 2073.0 | PatientsSeen: 42.0
Time point: 2123.0 | PatientsSeen: 43.0
Time point: 2170.0 | PatientsSeen: 44.0
Time point: 2219.0 | PatientsSeen: 45.0
Time point: 2267.0 | PatientsSeen: 46.0
Time point: 2313.0 | PatientsSeen: 47.0
Time point: 2362.0 | PatientsSeen: 48.0
Time point: 2408.0 | PatientsSeen: 49.0
Time point: 2457.0 | PatientsSeen: 50.0
Time point: 2506.0 | PatientsSeen: 51.0
Time point: 2555.0 | PatientsSeen: 52.0
Time point: 2601.0 | PatientsSeen: 53.0
Time point: 2650.0 | PatientsSeen: 54.0
Time point: 2699.0 | PatientsSeen: 55.0
Time point: 2747.0 | PatientsSeen: 56.0
Time point: 2795.0 | PatientsSeen: 57.0
Time point: 2842.0 | PatientsSeen: 58.0
Time point: 2892.0 | PatientsSeen: 59.0
Time point: 2939.0 | PatientsSeen: 60.0
Time point: 2986.0 | PatientsSeen: 61.0
Time point: 3035.0 | PatientsSeen: 62.0
Time point: 3084.0 | PatientsSeen: 63.0
Time point: 3132.0 | PatientsSeen: 64.0
Time point: 3179.0 | PatientsSeen: 65.0
Time point: 3228.0 | PatientsSeen: 66.0
Time point: 3272.0 | PatientsSeen: 67.0
Time point: 3321.0 | PatientsSeen: 68.0
Time point: 3369.0 | PatientsSeen: 69.0
Time point: 3418.0 | PatientsSeen: 70.0
Time point: 3467.0 | PatientsSeen: 71.0
Time point: 3516.0 | PatientsSeen: 72.0
Time point: 3563.0 | PatientsSeen: 73.0
Time point: 682.0 | PatientsSeen: 1.0
Time point: 1328.0 | PatientsSeen: 2.0
