Time point: 287.0 | PatientsSeen: 1.0
Time point: 338.0 | PatientsSeen: 2.0
Time point: 389.0 | PatientsSeen: 3.0
Time point: 439.0 | PatientsSeen: 4.0
Time point: 490.0 | PatientsSeen: 5.0
Time point: 539.0 | PatientsSeen: 6.0
Time point: 590.0 | PatientsSeen: 7.0
Time point: 641.0 | PatientsSeen: 8.0
Time point: 692.0 | PatientsSeen: 9.0
Time point: 743.0 | PatientsSeen: 10.0
Time point: 794.0 | PatientsSeen: 11.0
Time point: 844.0 | PatientsSeen: 12.0
Time point: 896.0 | PatientsSeen: 13.0
Time point: 947.0 | PatientsSeen: 14.0
Time point: 999.0 | PatientsSeen: 15.0
Time point: 1050.0 | PatientsSeen: 16.0
Time point: 1102.0 | PatientsSeen: 17.0
Time point: 1151.0 | PatientsSeen: 18.0
Time point: 1202.0 | PatientsSeen: 19.0
Time point: 1253.0 | PatientsSeen: 20.0
Time point: 1305.0 | PatientsSeen: 21.0
Time point: 1355.0 | PatientsSeen: 22.0
Time point: 1405.0 | PatientsSeen: 23.0
Time point: 1456.0 | PatientsSeen: 24.0
Time point: 1508.0 | PatientsSeen: 25.0
Time point: 1559.0 | PatientsSeen: 26.0
Time point: 1609.0 | PatientsSeen: 27.0
Time point: 1660.0 | PatientsSeen: 28.0
Time point: 1711.0 | PatientsSeen: 29.0
Time point: 1763.0 | PatientsSeen: 30.0
Time point: 1812.0 | PatientsSeen: 31.0
Time point: 1864.0 | PatientsSeen: 32.0
Time point: 1916.0 | PatientsSeen: 33.0
Time point: 1967.0 | PatientsSeen: 34.0
Time point: 2018.0 | PatientsSeen: 35.0
Time point: 2069.0 | PatientsSeen: 36.0
Time point: 2120.0 | PatientsSeen: 37.0
Time point: 2170.0 | PatientsSeen: 38.0
Time point: 2222.0 | PatientsSeen: 39.0
Time point: 2273.0 | PatientsSeen: 40.0
Time point: 2324.0 | PatientsSeen: 41.0
Time point: 2373.0 | PatientsSeen: 42.0
Time point: 2425.0 | PatientsSeen: 43.0
Time point: 2476.0 | PatientsSeen: 44.0
Time point: 2525.0 | PatientsSeen: 45.0
Time point: 2576.0 | PatientsSeen: 46.0
Time point: 2626.0 | PatientsSeen: 47.0
Time point: 2675.0 | PatientsSeen: 48.0
Time point: 2726.0 | PatientsSeen: 49.0
Time point: 2777.0 | PatientsSeen: 50.0
Time point: 2829.0 | PatientsSeen: 51.0
Time point: 2878.0 | PatientsSeen: 52.0
Time point: 2928.0 | PatientsSeen: 53.0
Time point: 2979.0 | PatientsSeen: 54.0
Time point: 3030.0 | PatientsSeen: 55.0
Time point: 3080.0 | PatientsSeen: 56.0
Time point: 3130.0 | PatientsSeen: 57.0
Time point: 3182.0 | PatientsSeen: 58.0
Time point: 3233.0 | PatientsSeen: 59.0
Time point: 3284.0 | PatientsSeen: 60.0
