Time point: 239.0 | PatientsSeen: 1.0
Time point: 425.0 | PatientsSeen: 2.0
Time point: 611.0 | PatientsSeen: 3.0
Time point: 797.0 | PatientsSeen: 4.0
Time point: 983.0 | PatientsSeen: 5.0
Time point: 1169.0 | PatientsSeen: 6.0
Time point: 1355.0 | PatientsSeen: 7.0
Time point: 1541.0 | PatientsSeen: 8.0
Time point: 1727.0 | PatientsSeen: 9.0
Time point: 1913.0 | PatientsSeen: 10.0
Time point: 2099.0 | PatientsSeen: 11.0
Time point: 2285.0 | PatientsSeen: 12.0
Time point: 2471.0 | PatientsSeen: 13.0
Time point: 2657.0 | PatientsSeen: 14.0
Time point: 2843.0 | PatientsSeen: 15.0
Time point: 3029.0 | PatientsSeen: 16.0
Time point: 3215.0 | PatientsSeen: 17.0
Time point: 3401.0 | PatientsSeen: 18.0
