Time point: 226.0 | PatientsSeen: 1.0
Time point: 412.0 | PatientsSeen: 2.0
Time point: 598.0 | PatientsSeen: 3.0
Time point: 784.0 | PatientsSeen: 4.0
Time point: 970.0 | PatientsSeen: 5.0
Time point: 1156.0 | PatientsSeen: 6.0
Time point: 1342.0 | PatientsSeen: 7.0
Time point: 1528.0 | PatientsSeen: 8.0
Time point: 1714.0 | PatientsSeen: 9.0
Time point: 1900.0 | PatientsSeen: 10.0
Time point: 2086.0 | PatientsSeen: 11.0
Time point: 2272.0 | PatientsSeen: 12.0
Time point: 2458.0 | PatientsSeen: 13.0
Time point: 2644.0 | PatientsSeen: 14.0
Time point: 2830.0 | PatientsSeen: 15.0
Time point: 3016.0 | PatientsSeen: 16.0
Time point: 3202.0 | PatientsSeen: 17.0
Time point: 3388.0 | PatientsSeen: 18.0
Time point: 3574.0 | PatientsSeen: 19.0
Time point: 3760.0 | PatientsSeen: 20.0
Time point: 3946.0 | PatientsSeen: 21.0
Time point: 4132.0 | PatientsSeen: 22.0
Time point: 4318.0 | PatientsSeen: 23.0
Time point: 4504.0 | PatientsSeen: 24.0
Time point: 4690.0 | PatientsSeen: 25.0
Time point: 4876.0 | PatientsSeen: 26.0
Time point: 5062.0 | PatientsSeen: 27.0
Time point: 5248.0 | PatientsSeen: 28.0
Time point: 5434.0 | PatientsSeen: 29.0
Time point: 5620.0 | PatientsSeen: 30.0
Time point: 5806.0 | PatientsSeen: 31.0
Time point: 5992.0 | PatientsSeen: 32.0
Time point: 6178.0 | PatientsSeen: 33.0
Time point: 6364.0 | PatientsSeen: 34.0
Time point: 6550.0 | PatientsSeen: 35.0
Time point: 6736.0 | PatientsSeen: 36.0
Time point: 6922.0 | PatientsSeen: 37.0
Time point: 7108.0 | PatientsSeen: 38.0
Time point: 7294.0 | PatientsSeen: 39.0
Time point: 7480.0 | PatientsSeen: 40.0
Time point: 7666.0 | PatientsSeen: 41.0
Time point: 7852.0 | PatientsSeen: 42.0
Time point: 8038.0 | PatientsSeen: 43.0
Time point: 8224.0 | PatientsSeen: 44.0
Time point: 8410.0 | PatientsSeen: 45.0
Time point: 8596.0 | PatientsSeen: 46.0
Time point: 8782.0 | PatientsSeen: 47.0
Time point: 8968.0 | PatientsSeen: 48.0
Time point: 9154.0 | PatientsSeen: 49.0
Time point: 9340.0 | PatientsSeen: 50.0
Time point: 9526.0 | PatientsSeen: 51.0
Time point: 9712.0 | PatientsSeen: 52.0
Time point: 9898.0 | PatientsSeen: 53.0
Time point: 10084.0 | PatientsSeen: 54.0
Time point: 10270.0 | PatientsSeen: 55.0
Time point: 10456.0 | PatientsSeen: 56.0
Time point: 10642.0 | PatientsSeen: 57.0
Time point: 10828.0 | PatientsSeen: 58.0
Time point: 11014.0 | PatientsSeen: 59.0
Time point: 11200.0 | PatientsSeen: 60.0
Time point: 11386.0 | PatientsSeen: 61.0
Time point: 11572.0 | PatientsSeen: 62.0
Time point: 11758.0 | PatientsSeen: 63.0
Time point: 11944.0 | PatientsSeen: 64.0
Time point: 12130.0 | PatientsSeen: 65.0
Time point: 12316.0 | PatientsSeen: 66.0
Time point: 12502.0 | PatientsSeen: 67.0
Time point: 12688.0 | PatientsSeen: 68.0
Time point: 12874.0 | PatientsSeen: 69.0
Time point: 13060.0 | PatientsSeen: 70.0
Time point: 13246.0 | PatientsSeen: 71.0
Time point: 13432.0 | PatientsSeen: 72.0
