Time point: 172.0 | PatientsSeen: 1.0
Time point: 223.0 | PatientsSeen: 2.0
Time point: 273.0 | PatientsSeen: 3.0
Time point: 323.0 | PatientsSeen: 4.0
Time point: 374.0 | PatientsSeen: 5.0
Time point: 425.0 | PatientsSeen: 6.0
Time point: 477.0 | PatientsSeen: 7.0
Time point: 528.0 | PatientsSeen: 8.0
Time point: 579.0 | PatientsSeen: 9.0
Time point: 630.0 | PatientsSeen: 10.0
Time point: 681.0 | PatientsSeen: 11.0
Time point: 731.0 | PatientsSeen: 12.0
Time point: 783.0 | PatientsSeen: 13.0
Time point: 834.0 | PatientsSeen: 14.0
Time point: 884.0 | PatientsSeen: 15.0
Time point: 935.0 | PatientsSeen: 16.0
Time point: 985.0 | PatientsSeen: 17.0
Time point: 1037.0 | PatientsSeen: 18.0
Time point: 1087.0 | PatientsSeen: 19.0
Time point: 1139.0 | PatientsSeen: 20.0
Time point: 1191.0 | PatientsSeen: 21.0
Time point: 1241.0 | PatientsSeen: 22.0
Time point: 1292.0 | PatientsSeen: 23.0
Time point: 1343.0 | PatientsSeen: 24.0
Time point: 1392.0 | PatientsSeen: 25.0
Time point: 1444.0 | PatientsSeen: 26.0
Time point: 1495.0 | PatientsSeen: 27.0
Time point: 1546.0 | PatientsSeen: 28.0
