Time point: 263.0 | PatientsSeen: 1.0
Time point: 472.0 | PatientsSeen: 2.0
Time point: 682.0 | PatientsSeen: 3.0
Time point: 897.0 | PatientsSeen: 4.0
Time point: 1109.0 | PatientsSeen: 5.0
Time point: 1319.0 | PatientsSeen: 6.0
Time point: 1529.0 | PatientsSeen: 7.0
Time point: 1741.0 | PatientsSeen: 8.0
Time point: 1954.0 | PatientsSeen: 9.0
Time point: 2165.0 | PatientsSeen: 10.0
Time point: 2377.0 | PatientsSeen: 11.0
Time point: 2588.0 | PatientsSeen: 12.0
Time point: 2800.0 | PatientsSeen: 13.0
Time point: 3012.0 | PatientsSeen: 14.0
Time point: 3222.0 | PatientsSeen: 15.0
Time point: 3437.0 | PatientsSeen: 16.0
Time point: 3648.0 | PatientsSeen: 17.0
Time point: 3861.0 | PatientsSeen: 18.0
Time point: 4076.0 | PatientsSeen: 19.0
Time point: 4286.0 | PatientsSeen: 20.0
Time point: 4497.0 | PatientsSeen: 21.0
Time point: 4708.0 | PatientsSeen: 22.0
Time point: 4921.0 | PatientsSeen: 23.0
Time point: 5131.0 | PatientsSeen: 24.0
Time point: 5343.0 | PatientsSeen: 25.0
Time point: 5554.0 | PatientsSeen: 26.0
Time point: 5765.0 | PatientsSeen: 27.0
Time point: 5978.0 | PatientsSeen: 28.0
Time point: 6188.0 | PatientsSeen: 29.0
Time point: 6401.0 | PatientsSeen: 30.0
Time point: 6612.0 | PatientsSeen: 31.0
Time point: 6822.0 | PatientsSeen: 32.0
Time point: 7036.0 | PatientsSeen: 33.0
Time point: 7248.0 | PatientsSeen: 34.0
Time point: 7464.0 | PatientsSeen: 35.0
Time point: 7675.0 | PatientsSeen: 36.0
Time point: 7886.0 | PatientsSeen: 37.0
Time point: 8096.0 | PatientsSeen: 38.0
Time point: 8307.0 | PatientsSeen: 39.0
Time point: 8516.0 | PatientsSeen: 40.0
Time point: 8726.0 | PatientsSeen: 41.0
Time point: 8937.0 | PatientsSeen: 42.0
Time point: 9149.0 | PatientsSeen: 43.0
Time point: 9359.0 | PatientsSeen: 44.0
Time point: 9571.0 | PatientsSeen: 45.0
Time point: 9781.0 | PatientsSeen: 46.0
Time point: 9993.0 | PatientsSeen: 47.0
Time point: 10203.0 | PatientsSeen: 48.0
Time point: 10416.0 | PatientsSeen: 49.0
Time point: 10627.0 | PatientsSeen: 50.0
Time point: 10836.0 | PatientsSeen: 51.0
Time point: 11048.0 | PatientsSeen: 52.0
Time point: 11259.0 | PatientsSeen: 53.0
