Time point: 232.0 | PatientsSeen: 1.0
Time point: 273.0 | PatientsSeen: 2.0
Time point: 311.0 | PatientsSeen: 3.0
Time point: 359.0 | PatientsSeen: 4.0
Time point: 397.0 | PatientsSeen: 5.0
Time point: 436.0 | PatientsSeen: 6.0
Time point: 474.0 | PatientsSeen: 7.0
Time point: 511.0 | PatientsSeen: 8.0
Time point: 551.0 | PatientsSeen: 9.0
Time point: 589.0 | PatientsSeen: 10.0
Time point: 627.0 | PatientsSeen: 11.0
Time point: 669.0 | PatientsSeen: 12.0
Time point: 707.0 | PatientsSeen: 13.0
Time point: 745.0 | PatientsSeen: 14.0
Time point: 789.0 | PatientsSeen: 15.0
Time point: 833.0 | PatientsSeen: 16.0
Time point: 881.0 | PatientsSeen: 17.0
Time point: 920.0 | PatientsSeen: 18.0
Time point: 964.0 | PatientsSeen: 19.0
Time point: 1008.0 | PatientsSeen: 20.0
Time point: 1053.0 | PatientsSeen: 21.0
Time point: 1092.0 | PatientsSeen: 22.0
Time point: 1139.0 | PatientsSeen: 23.0
Time point: 1179.0 | PatientsSeen: 24.0
Time point: 1220.0 | PatientsSeen: 25.0
Time point: 1262.0 | PatientsSeen: 26.0
Time point: 1302.0 | PatientsSeen: 27.0
Time point: 1340.0 | PatientsSeen: 28.0
Time point: 1377.0 | PatientsSeen: 29.0
Time point: 1425.0 | PatientsSeen: 30.0
Time point: 1471.0 | PatientsSeen: 31.0
