Time point: 245.0 | PatientsSeen: 1.0
Time point: 431.0 | PatientsSeen: 2.0
Time point: 617.0 | PatientsSeen: 3.0
Time point: 803.0 | PatientsSeen: 4.0
Time point: 989.0 | PatientsSeen: 5.0
Time point: 1175.0 | PatientsSeen: 6.0
Time point: 1361.0 | PatientsSeen: 7.0
Time point: 1547.0 | PatientsSeen: 8.0
Time point: 1733.0 | PatientsSeen: 9.0
Time point: 1919.0 | PatientsSeen: 10.0
Time point: 2105.0 | PatientsSeen: 11.0
Time point: 2291.0 | PatientsSeen: 12.0
Time point: 2477.0 | PatientsSeen: 13.0
Time point: 2663.0 | PatientsSeen: 14.0
Time point: 2849.0 | PatientsSeen: 15.0
Time point: 3035.0 | PatientsSeen: 16.0
Time point: 3221.0 | PatientsSeen: 17.0
