Time point: 185.0 | PatientsSeen: 1.0
Time point: 235.0 | PatientsSeen: 2.0
Time point: 284.0 | PatientsSeen: 3.0
Time point: 334.0 | PatientsSeen: 4.0
Time point: 384.0 | PatientsSeen: 5.0
Time point: 436.0 | PatientsSeen: 6.0
Time point: 487.0 | PatientsSeen: 7.0
Time point: 538.0 | PatientsSeen: 8.0
Time point: 589.0 | PatientsSeen: 9.0
Time point: 640.0 | PatientsSeen: 10.0
Time point: 692.0 | PatientsSeen: 11.0
Time point: 743.0 | PatientsSeen: 12.0
Time point: 793.0 | PatientsSeen: 13.0
Time point: 845.0 | PatientsSeen: 14.0
Time point: 895.0 | PatientsSeen: 15.0
Time point: 945.0 | PatientsSeen: 16.0
Time point: 996.0 | PatientsSeen: 17.0
Time point: 1046.0 | PatientsSeen: 18.0
Time point: 1097.0 | PatientsSeen: 19.0
Time point: 1149.0 | PatientsSeen: 20.0
Time point: 1199.0 | PatientsSeen: 21.0
Time point: 1248.0 | PatientsSeen: 22.0
Time point: 1299.0 | PatientsSeen: 23.0
Time point: 1349.0 | PatientsSeen: 24.0
Time point: 1399.0 | PatientsSeen: 25.0
Time point: 1451.0 | PatientsSeen: 26.0
Time point: 1501.0 | PatientsSeen: 27.0
Time point: 1551.0 | PatientsSeen: 28.0
