Time point: 227.0 | PatientsSeen: 1.0
Time point: 277.0 | PatientsSeen: 2.0
Time point: 327.0 | PatientsSeen: 3.0
Time point: 377.0 | PatientsSeen: 4.0
Time point: 428.0 | PatientsSeen: 5.0
Time point: 477.0 | PatientsSeen: 6.0
Time point: 528.0 | PatientsSeen: 7.0
Time point: 577.0 | PatientsSeen: 8.0
Time point: 627.0 | PatientsSeen: 9.0
Time point: 677.0 | PatientsSeen: 10.0
Time point: 727.0 | PatientsSeen: 11.0
Time point: 779.0 | PatientsSeen: 12.0
Time point: 830.0 | PatientsSeen: 13.0
Time point: 881.0 | PatientsSeen: 14.0
Time point: 931.0 | PatientsSeen: 15.0
Time point: 981.0 | PatientsSeen: 16.0
Time point: 1033.0 | PatientsSeen: 17.0
Time point: 1084.0 | PatientsSeen: 18.0
Time point: 1134.0 | PatientsSeen: 19.0
Time point: 1185.0 | PatientsSeen: 20.0
Time point: 1236.0 | PatientsSeen: 21.0
Time point: 1287.0 | PatientsSeen: 22.0
Time point: 1336.0 | PatientsSeen: 23.0
Time point: 1386.0 | PatientsSeen: 24.0
Time point: 1438.0 | PatientsSeen: 25.0
Time point: 1489.0 | PatientsSeen: 26.0
Time point: 1541.0 | PatientsSeen: 27.0
Time point: 1592.0 | PatientsSeen: 28.0
Time point: 1643.0 | PatientsSeen: 29.0
Time point: 1694.0 | PatientsSeen: 30.0
Time point: 1744.0 | PatientsSeen: 31.0
Time point: 1795.0 | PatientsSeen: 32.0
Time point: 1845.0 | PatientsSeen: 33.0
Time point: 1895.0 | PatientsSeen: 34.0
Time point: 1946.0 | PatientsSeen: 35.0
Time point: 1996.0 | PatientsSeen: 36.0
Time point: 2048.0 | PatientsSeen: 37.0
Time point: 2097.0 | PatientsSeen: 38.0
Time point: 2148.0 | PatientsSeen: 39.0
Time point: 2198.0 | PatientsSeen: 40.0
Time point: 2250.0 | PatientsSeen: 41.0
Time point: 2301.0 | PatientsSeen: 42.0
Time point: 2350.0 | PatientsSeen: 43.0
Time point: 2401.0 | PatientsSeen: 44.0
Time point: 2452.0 | PatientsSeen: 45.0
Time point: 2503.0 | PatientsSeen: 46.0
Time point: 2555.0 | PatientsSeen: 47.0
Time point: 2605.0 | PatientsSeen: 48.0
Time point: 2656.0 | PatientsSeen: 49.0
Time point: 2705.0 | PatientsSeen: 50.0
Time point: 2756.0 | PatientsSeen: 51.0
Time point: 2806.0 | PatientsSeen: 52.0
