Time point: 233.0 | PatientsSeen: 1.0
Time point: 445.0 | PatientsSeen: 2.0
Time point: 656.0 | PatientsSeen: 3.0
Time point: 868.0 | PatientsSeen: 4.0
Time point: 1077.0 | PatientsSeen: 5.0
Time point: 1288.0 | PatientsSeen: 6.0
Time point: 1499.0 | PatientsSeen: 7.0
Time point: 1709.0 | PatientsSeen: 8.0
Time point: 1920.0 | PatientsSeen: 9.0
Time point: 2131.0 | PatientsSeen: 10.0
Time point: 2342.0 | PatientsSeen: 11.0
Time point: 2552.0 | PatientsSeen: 12.0
Time point: 2763.0 | PatientsSeen: 13.0
Time point: 2974.0 | PatientsSeen: 14.0
Time point: 3182.0 | PatientsSeen: 15.0
Time point: 3392.0 | PatientsSeen: 16.0
Time point: 3603.0 | PatientsSeen: 17.0
Time point: 3815.0 | PatientsSeen: 18.0
Time point: 4025.0 | PatientsSeen: 19.0
