Time point: 110.0 | PatientsSeen: 1.0
Time point: 152.0 | PatientsSeen: 2.0
Time point: 193.0 | PatientsSeen: 3.0
Time point: 236.0 | PatientsSeen: 4.0
Time point: 277.0 | PatientsSeen: 5.0
Time point: 318.0 | PatientsSeen: 6.0
Time point: 359.0 | PatientsSeen: 7.0
Time point: 400.0 | PatientsSeen: 8.0
Time point: 441.0 | PatientsSeen: 9.0
Time point: 481.0 | PatientsSeen: 10.0
Time point: 522.0 | PatientsSeen: 11.0
Time point: 563.0 | PatientsSeen: 12.0
Time point: 605.0 | PatientsSeen: 13.0
Time point: 647.0 | PatientsSeen: 14.0
Time point: 690.0 | PatientsSeen: 15.0
Time point: 731.0 | PatientsSeen: 16.0
Time point: 773.0 | PatientsSeen: 17.0
Time point: 816.0 | PatientsSeen: 18.0
Time point: 858.0 | PatientsSeen: 19.0
Time point: 900.0 | PatientsSeen: 20.0
Time point: 942.0 | PatientsSeen: 21.0
Time point: 985.0 | PatientsSeen: 22.0
Time point: 1027.0 | PatientsSeen: 23.0
Time point: 1068.0 | PatientsSeen: 24.0
Time point: 1115.0 | PatientsSeen: 25.0
Time point: 1164.0 | PatientsSeen: 26.0
Time point: 1212.0 | PatientsSeen: 27.0
Time point: 1258.0 | PatientsSeen: 28.0
Time point: 1307.0 | PatientsSeen: 29.0
Time point: 1354.0 | PatientsSeen: 30.0
Time point: 1403.0 | PatientsSeen: 31.0
Time point: 1449.0 | PatientsSeen: 32.0
Time point: 1499.0 | PatientsSeen: 33.0
Time point: 1547.0 | PatientsSeen: 34.0
Time point: 1593.0 | PatientsSeen: 35.0
Time point: 1644.0 | PatientsSeen: 36.0
Time point: 1689.0 | PatientsSeen: 37.0
Time point: 1738.0 | PatientsSeen: 38.0
Time point: 1787.0 | PatientsSeen: 39.0
Time point: 1834.0 | PatientsSeen: 40.0
Time point: 1882.0 | PatientsSeen: 41.0
Time point: 1929.0 | PatientsSeen: 42.0
Time point: 1979.0 | PatientsSeen: 43.0
Time point: 2026.0 | PatientsSeen: 44.0
Time point: 2073.0 | PatientsSeen: 45.0
Time point: 2122.0 | PatientsSeen: 46.0
Time point: 2168.0 | PatientsSeen: 47.0
