Time point: 354.0 | PatientsSeen: 1.0
Time point: 407.0 | PatientsSeen: 2.0
Time point: 460.0 | PatientsSeen: 3.0
Time point: 511.0 | PatientsSeen: 4.0
Time point: 559.0 | PatientsSeen: 5.0
Time point: 607.0 | PatientsSeen: 6.0
Time point: 656.0 | PatientsSeen: 7.0
Time point: 708.0 | PatientsSeen: 8.0
Time point: 757.0 | PatientsSeen: 9.0
Time point: 807.0 | PatientsSeen: 10.0
Time point: 855.0 | PatientsSeen: 11.0
Time point: 902.0 | PatientsSeen: 12.0
Time point: 955.0 | PatientsSeen: 13.0
Time point: 1017.0 | PatientsSeen: 14.0
Time point: 1079.0 | PatientsSeen: 15.0
Time point: 1143.0 | PatientsSeen: 16.0
Time point: 1208.0 | PatientsSeen: 17.0
Time point: 1269.0 | PatientsSeen: 18.0
Time point: 1332.0 | PatientsSeen: 19.0
Time point: 1396.0 | PatientsSeen: 20.0
Time point: 1459.0 | PatientsSeen: 21.0
Time point: 1520.0 | PatientsSeen: 22.0
Time point: 1585.0 | PatientsSeen: 23.0
Time point: 1647.0 | PatientsSeen: 24.0
Time point: 1710.0 | PatientsSeen: 25.0
Time point: 1775.0 | PatientsSeen: 26.0
Time point: 1836.0 | PatientsSeen: 27.0
Time point: 1899.0 | PatientsSeen: 28.0
Time point: 1961.0 | PatientsSeen: 29.0
Time point: 2025.0 | PatientsSeen: 30.0
Time point: 2089.0 | PatientsSeen: 31.0
Time point: 2151.0 | PatientsSeen: 32.0
Time point: 2215.0 | PatientsSeen: 33.0
Time point: 2278.0 | PatientsSeen: 34.0
Time point: 2340.0 | PatientsSeen: 35.0
Time point: 2403.0 | PatientsSeen: 36.0
Time point: 2466.0 | PatientsSeen: 37.0
Time point: 2530.0 | PatientsSeen: 38.0
Time point: 2592.0 | PatientsSeen: 39.0
Time point: 2654.0 | PatientsSeen: 40.0
Time point: 2719.0 | PatientsSeen: 41.0
Time point: 2780.0 | PatientsSeen: 42.0
Time point: 2845.0 | PatientsSeen: 43.0
Time point: 2905.0 | PatientsSeen: 44.0
Time point: 2969.0 | PatientsSeen: 45.0
Time point: 3034.0 | PatientsSeen: 46.0
Time point: 3095.0 | PatientsSeen: 47.0
Time point: 3160.0 | PatientsSeen: 48.0
Time point: 3222.0 | PatientsSeen: 49.0
Time point: 3285.0 | PatientsSeen: 50.0
Time point: 3347.0 | PatientsSeen: 51.0
Time point: 3412.0 | PatientsSeen: 52.0
Time point: 3475.0 | PatientsSeen: 53.0
Time point: 3536.0 | PatientsSeen: 54.0
Time point: 3601.0 | PatientsSeen: 55.0
Time point: 3664.0 | PatientsSeen: 56.0
Time point: 3726.0 | PatientsSeen: 57.0
Time point: 3788.0 | PatientsSeen: 58.0
Time point: 3854.0 | PatientsSeen: 59.0
Time point: 3915.0 | PatientsSeen: 60.0
Time point: 3977.0 | PatientsSeen: 61.0
Time point: 4041.0 | PatientsSeen: 62.0
Time point: 4104.0 | PatientsSeen: 63.0
Time point: 207.0 | PatientsSeen: 1.0
Time point: 393.0 | PatientsSeen: 2.0
Time point: 579.0 | PatientsSeen: 3.0
Time point: 765.0 | PatientsSeen: 4.0
Time point: 951.0 | PatientsSeen: 5.0
Time point: 1137.0 | PatientsSeen: 6.0
Time point: 1323.0 | PatientsSeen: 7.0
Time point: 1508.0 | PatientsSeen: 8.0
Time point: 1694.0 | PatientsSeen: 9.0
Time point: 1880.0 | PatientsSeen: 10.0
Time point: 2066.0 | PatientsSeen: 11.0
Time point: 2251.0 | PatientsSeen: 12.0
Time point: 2437.0 | PatientsSeen: 13.0
Time point: 2622.0 | PatientsSeen: 14.0
Time point: 2807.0 | PatientsSeen: 15.0
