Time point: 258.0 | PatientsSeen: 1.0
Time point: 466.0 | PatientsSeen: 2.0
Time point: 677.0 | PatientsSeen: 3.0
Time point: 885.0 | PatientsSeen: 4.0
Time point: 1094.0 | PatientsSeen: 5.0
Time point: 1304.0 | PatientsSeen: 6.0
Time point: 1514.0 | PatientsSeen: 7.0
Time point: 1722.0 | PatientsSeen: 8.0
Time point: 1932.0 | PatientsSeen: 9.0
Time point: 2142.0 | PatientsSeen: 10.0
Time point: 2350.0 | PatientsSeen: 11.0
Time point: 2559.0 | PatientsSeen: 12.0
Time point: 2769.0 | PatientsSeen: 13.0
Time point: 2978.0 | PatientsSeen: 14.0
Time point: 3188.0 | PatientsSeen: 15.0
Time point: 3398.0 | PatientsSeen: 16.0
Time point: 3608.0 | PatientsSeen: 17.0
