Time point: 270.0 | PatientsSeen: 1.0
Time point: 321.0 | PatientsSeen: 2.0
Time point: 373.0 | PatientsSeen: 3.0
Time point: 424.0 | PatientsSeen: 4.0
Time point: 475.0 | PatientsSeen: 5.0
Time point: 527.0 | PatientsSeen: 6.0
Time point: 577.0 | PatientsSeen: 7.0
Time point: 626.0 | PatientsSeen: 8.0
Time point: 677.0 | PatientsSeen: 9.0
Time point: 727.0 | PatientsSeen: 10.0
Time point: 779.0 | PatientsSeen: 11.0
Time point: 830.0 | PatientsSeen: 12.0
Time point: 881.0 | PatientsSeen: 13.0
Time point: 931.0 | PatientsSeen: 14.0
Time point: 981.0 | PatientsSeen: 15.0
Time point: 1033.0 | PatientsSeen: 16.0
Time point: 1083.0 | PatientsSeen: 17.0
Time point: 1133.0 | PatientsSeen: 18.0
Time point: 1182.0 | PatientsSeen: 19.0
Time point: 1233.0 | PatientsSeen: 20.0
Time point: 1284.0 | PatientsSeen: 21.0
Time point: 1335.0 | PatientsSeen: 22.0
Time point: 1385.0 | PatientsSeen: 23.0
Time point: 1436.0 | PatientsSeen: 24.0
Time point: 1488.0 | PatientsSeen: 25.0
Time point: 1538.0 | PatientsSeen: 26.0
Time point: 1589.0 | PatientsSeen: 27.0
Time point: 1639.0 | PatientsSeen: 28.0
Time point: 1689.0 | PatientsSeen: 29.0
Time point: 1741.0 | PatientsSeen: 30.0
Time point: 1791.0 | PatientsSeen: 31.0
Time point: 1841.0 | PatientsSeen: 32.0
Time point: 1891.0 | PatientsSeen: 33.0
Time point: 1943.0 | PatientsSeen: 34.0
Time point: 1993.0 | PatientsSeen: 35.0
Time point: 2045.0 | PatientsSeen: 36.0
Time point: 2096.0 | PatientsSeen: 37.0
Time point: 2148.0 | PatientsSeen: 38.0
Time point: 2197.0 | PatientsSeen: 39.0
Time point: 2249.0 | PatientsSeen: 40.0
Time point: 2301.0 | PatientsSeen: 41.0
Time point: 2351.0 | PatientsSeen: 42.0
Time point: 2403.0 | PatientsSeen: 43.0
Time point: 2453.0 | PatientsSeen: 44.0
Time point: 2504.0 | PatientsSeen: 45.0
Time point: 2555.0 | PatientsSeen: 46.0
Time point: 2605.0 | PatientsSeen: 47.0
Time point: 2656.0 | PatientsSeen: 48.0
Time point: 2705.0 | PatientsSeen: 49.0
Time point: 2756.0 | PatientsSeen: 50.0
Time point: 2806.0 | PatientsSeen: 51.0
