Time point: 147.0 | PatientsSeen: 1.0
Time point: 189.0 | PatientsSeen: 2.0
Time point: 231.0 | PatientsSeen: 3.0
Time point: 273.0 | PatientsSeen: 4.0
Time point: 316.0 | PatientsSeen: 5.0
Time point: 357.0 | PatientsSeen: 6.0
Time point: 398.0 | PatientsSeen: 7.0
Time point: 441.0 | PatientsSeen: 8.0
Time point: 482.0 | PatientsSeen: 9.0
Time point: 524.0 | PatientsSeen: 10.0
Time point: 565.0 | PatientsSeen: 11.0
Time point: 606.0 | PatientsSeen: 12.0
Time point: 646.0 | PatientsSeen: 13.0
Time point: 688.0 | PatientsSeen: 14.0
Time point: 729.0 | PatientsSeen: 15.0
Time point: 772.0 | PatientsSeen: 16.0
Time point: 814.0 | PatientsSeen: 17.0
Time point: 855.0 | PatientsSeen: 18.0
Time point: 896.0 | PatientsSeen: 19.0
Time point: 939.0 | PatientsSeen: 20.0
Time point: 986.0 | PatientsSeen: 21.0
Time point: 1036.0 | PatientsSeen: 22.0
