Time point: 226.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 644.0 | PatientsSeen: 3.0
Time point: 852.0 | PatientsSeen: 4.0
Time point: 1063.0 | PatientsSeen: 5.0
Time point: 1273.0 | PatientsSeen: 6.0
Time point: 1483.0 | PatientsSeen: 7.0
Time point: 1692.0 | PatientsSeen: 8.0
Time point: 1903.0 | PatientsSeen: 9.0
Time point: 2112.0 | PatientsSeen: 10.0
Time point: 2323.0 | PatientsSeen: 11.0
Time point: 2534.0 | PatientsSeen: 12.0
Time point: 2744.0 | PatientsSeen: 13.0
Time point: 2953.0 | PatientsSeen: 14.0
Time point: 3163.0 | PatientsSeen: 15.0
Time point: 3374.0 | PatientsSeen: 16.0
Time point: 3582.0 | PatientsSeen: 17.0
Time point: 3791.0 | PatientsSeen: 18.0
Time point: 4000.0 | PatientsSeen: 19.0
Time point: 4210.0 | PatientsSeen: 20.0
Time point: 4419.0 | PatientsSeen: 21.0
Time point: 4629.0 | PatientsSeen: 22.0
Time point: 4838.0 | PatientsSeen: 23.0
Time point: 5047.0 | PatientsSeen: 24.0
Time point: 5255.0 | PatientsSeen: 25.0
Time point: 5464.0 | PatientsSeen: 26.0
Time point: 5673.0 | PatientsSeen: 27.0
Time point: 5882.0 | PatientsSeen: 28.0
