Time point: 690.0 | PatientsSeen: 1.0
Time point: 1315.0 | PatientsSeen: 2.0
Time point: 1941.0 | PatientsSeen: 3.0
Time point: 2565.0 | PatientsSeen: 4.0
Time point: 3189.0 | PatientsSeen: 5.0
Time point: 3813.0 | PatientsSeen: 6.0
Time point: 4437.0 | PatientsSeen: 7.0
Time point: 5062.0 | PatientsSeen: 8.0
Time point: 5687.0 | PatientsSeen: 9.0
Time point: 6313.0 | PatientsSeen: 10.0
Time point: 6936.0 | PatientsSeen: 11.0
Time point: 7560.0 | PatientsSeen: 12.0
Time point: 8185.0 | PatientsSeen: 13.0
Time point: 8810.0 | PatientsSeen: 14.0
