Time point: 691.0 | PatientsSeen: 1.0
Time point: 1316.0 | PatientsSeen: 2.0
Time point: 1941.0 | PatientsSeen: 3.0
Time point: 2566.0 | PatientsSeen: 4.0
Time point: 3191.0 | PatientsSeen: 5.0
Time point: 3816.0 | PatientsSeen: 6.0
Time point: 4440.0 | PatientsSeen: 7.0
Time point: 5064.0 | PatientsSeen: 8.0
Time point: 5689.0 | PatientsSeen: 9.0
Time point: 6313.0 | PatientsSeen: 10.0
Time point: 6938.0 | PatientsSeen: 11.0
Time point: 7564.0 | PatientsSeen: 12.0
Time point: 8189.0 | PatientsSeen: 13.0
Time point: 8815.0 | PatientsSeen: 14.0
Time point: 9440.0 | PatientsSeen: 15.0
Time point: 10066.0 | PatientsSeen: 16.0
Time point: 10692.0 | PatientsSeen: 17.0
