Time point: 122.0 | PatientsSeen: 1.0
Time point: 165.0 | PatientsSeen: 2.0
Time point: 217.0 | PatientsSeen: 3.0
Time point: 278.0 | PatientsSeen: 4.0
Time point: 322.0 | PatientsSeen: 5.0
Time point: 382.0 | PatientsSeen: 6.0
Time point: 445.0 | PatientsSeen: 7.0
Time point: 508.0 | PatientsSeen: 8.0
Time point: 572.0 | PatientsSeen: 9.0
Time point: 614.0 | PatientsSeen: 10.0
Time point: 684.0 | PatientsSeen: 11.0
Time point: 725.0 | PatientsSeen: 12.0
Time point: 768.0 | PatientsSeen: 13.0
Time point: 825.0 | PatientsSeen: 14.0
Time point: 884.0 | PatientsSeen: 15.0
Time point: 948.0 | PatientsSeen: 16.0
Time point: 1010.0 | PatientsSeen: 17.0
Time point: 1075.0 | PatientsSeen: 18.0
Time point: 1135.0 | PatientsSeen: 19.0
Time point: 1200.0 | PatientsSeen: 20.0
Time point: 1263.0 | PatientsSeen: 21.0
Time point: 1326.0 | PatientsSeen: 22.0
Time point: 1390.0 | PatientsSeen: 23.0
Time point: 1453.0 | PatientsSeen: 24.0
Time point: 1516.0 | PatientsSeen: 25.0
