Time point: 138.0 | PatientsSeen: 1.0
Time point: 180.0 | PatientsSeen: 2.0
Time point: 224.0 | PatientsSeen: 3.0
Time point: 266.0 | PatientsSeen: 4.0
Time point: 319.0 | PatientsSeen: 5.0
Time point: 382.0 | PatientsSeen: 6.0
Time point: 445.0 | PatientsSeen: 7.0
Time point: 507.0 | PatientsSeen: 8.0
Time point: 569.0 | PatientsSeen: 9.0
Time point: 610.0 | PatientsSeen: 10.0
Time point: 653.0 | PatientsSeen: 11.0
Time point: 701.0 | PatientsSeen: 12.0
Time point: 760.0 | PatientsSeen: 13.0
Time point: 823.0 | PatientsSeen: 14.0
Time point: 886.0 | PatientsSeen: 15.0
Time point: 948.0 | PatientsSeen: 16.0
Time point: 1011.0 | PatientsSeen: 17.0
Time point: 1075.0 | PatientsSeen: 18.0
Time point: 1136.0 | PatientsSeen: 19.0
Time point: 1201.0 | PatientsSeen: 20.0
Time point: 1263.0 | PatientsSeen: 21.0
Time point: 1328.0 | PatientsSeen: 22.0
Time point: 1390.0 | PatientsSeen: 23.0
Time point: 1453.0 | PatientsSeen: 24.0
Time point: 1516.0 | PatientsSeen: 25.0
Time point: 1578.0 | PatientsSeen: 26.0
Time point: 1642.0 | PatientsSeen: 27.0
Time point: 1704.0 | PatientsSeen: 28.0
Time point: 1769.0 | PatientsSeen: 29.0
Time point: 1829.0 | PatientsSeen: 30.0
Time point: 1895.0 | PatientsSeen: 31.0
Time point: 1955.0 | PatientsSeen: 32.0
Time point: 2020.0 | PatientsSeen: 33.0
Time point: 2082.0 | PatientsSeen: 34.0
Time point: 2146.0 | PatientsSeen: 35.0
Time point: 2208.0 | PatientsSeen: 36.0
Time point: 2273.0 | PatientsSeen: 37.0
Time point: 2334.0 | PatientsSeen: 38.0
Time point: 2397.0 | PatientsSeen: 39.0
Time point: 2461.0 | PatientsSeen: 40.0
Time point: 2523.0 | PatientsSeen: 41.0
Time point: 2585.0 | PatientsSeen: 42.0
Time point: 2649.0 | PatientsSeen: 43.0
Time point: 2711.0 | PatientsSeen: 44.0
Time point: 2776.0 | PatientsSeen: 45.0
Time point: 2838.0 | PatientsSeen: 46.0
Time point: 2901.0 | PatientsSeen: 47.0
Time point: 2964.0 | PatientsSeen: 48.0
Time point: 3028.0 | PatientsSeen: 49.0
Time point: 3091.0 | PatientsSeen: 50.0
Time point: 3153.0 | PatientsSeen: 51.0
Time point: 3216.0 | PatientsSeen: 52.0
Time point: 3279.0 | PatientsSeen: 53.0
Time point: 3343.0 | PatientsSeen: 54.0
Time point: 3405.0 | PatientsSeen: 55.0
Time point: 3469.0 | PatientsSeen: 56.0
Time point: 3532.0 | PatientsSeen: 57.0
Time point: 3595.0 | PatientsSeen: 58.0
