Time point: 214.0 | PatientsSeen: 1.0
Time point: 266.0 | PatientsSeen: 2.0
Time point: 312.0 | PatientsSeen: 3.0
Time point: 361.0 | PatientsSeen: 4.0
Time point: 415.0 | PatientsSeen: 5.0
Time point: 467.0 | PatientsSeen: 6.0
Time point: 516.0 | PatientsSeen: 7.0
Time point: 568.0 | PatientsSeen: 8.0
Time point: 621.0 | PatientsSeen: 9.0
Time point: 669.0 | PatientsSeen: 10.0
Time point: 722.0 | PatientsSeen: 11.0
Time point: 770.0 | PatientsSeen: 12.0
Time point: 817.0 | PatientsSeen: 13.0
Time point: 871.0 | PatientsSeen: 14.0
Time point: 917.0 | PatientsSeen: 15.0
Time point: 974.0 | PatientsSeen: 16.0
Time point: 1038.0 | PatientsSeen: 17.0
Time point: 1102.0 | PatientsSeen: 18.0
Time point: 1165.0 | PatientsSeen: 19.0
Time point: 1226.0 | PatientsSeen: 20.0
Time point: 1291.0 | PatientsSeen: 21.0
Time point: 1353.0 | PatientsSeen: 22.0
Time point: 1416.0 | PatientsSeen: 23.0
Time point: 1481.0 | PatientsSeen: 24.0
Time point: 1541.0 | PatientsSeen: 25.0
Time point: 1606.0 | PatientsSeen: 26.0
Time point: 1667.0 | PatientsSeen: 27.0
Time point: 1731.0 | PatientsSeen: 28.0
Time point: 1794.0 | PatientsSeen: 29.0
Time point: 1856.0 | PatientsSeen: 30.0
Time point: 1920.0 | PatientsSeen: 31.0
Time point: 1983.0 | PatientsSeen: 32.0
Time point: 2047.0 | PatientsSeen: 33.0
Time point: 2109.0 | PatientsSeen: 34.0
Time point: 2170.0 | PatientsSeen: 35.0
Time point: 2235.0 | PatientsSeen: 36.0
Time point: 2297.0 | PatientsSeen: 37.0
Time point: 2360.0 | PatientsSeen: 38.0
Time point: 2424.0 | PatientsSeen: 39.0
Time point: 2487.0 | PatientsSeen: 40.0
Time point: 2549.0 | PatientsSeen: 41.0
Time point: 2612.0 | PatientsSeen: 42.0
Time point: 2678.0 | PatientsSeen: 43.0
Time point: 2738.0 | PatientsSeen: 44.0
Time point: 2802.0 | PatientsSeen: 45.0
Time point: 2867.0 | PatientsSeen: 46.0
Time point: 2930.0 | PatientsSeen: 47.0
Time point: 2991.0 | PatientsSeen: 48.0
Time point: 3054.0 | PatientsSeen: 49.0
Time point: 3118.0 | PatientsSeen: 50.0
Time point: 3181.0 | PatientsSeen: 51.0
Time point: 3245.0 | PatientsSeen: 52.0
Time point: 3307.0 | PatientsSeen: 53.0
Time point: 3371.0 | PatientsSeen: 54.0
Time point: 3434.0 | PatientsSeen: 55.0
Time point: 3497.0 | PatientsSeen: 56.0
Time point: 3558.0 | PatientsSeen: 57.0
Time point: 3620.0 | PatientsSeen: 58.0
Time point: 3685.0 | PatientsSeen: 59.0
Time point: 3746.0 | PatientsSeen: 60.0
Time point: 3810.0 | PatientsSeen: 61.0
Time point: 3874.0 | PatientsSeen: 62.0
Time point: 3938.0 | PatientsSeen: 63.0
Time point: 4004.0 | PatientsSeen: 64.0
Time point: 4064.0 | PatientsSeen: 65.0
Time point: 4126.0 | PatientsSeen: 66.0
