Time point: 225.0 | PatientsSeen: 1.0
Time point: 411.0 | PatientsSeen: 2.0
Time point: 597.0 | PatientsSeen: 3.0
Time point: 783.0 | PatientsSeen: 4.0
Time point: 969.0 | PatientsSeen: 5.0
Time point: 1155.0 | PatientsSeen: 6.0
Time point: 1341.0 | PatientsSeen: 7.0
Time point: 1527.0 | PatientsSeen: 8.0
Time point: 1713.0 | PatientsSeen: 9.0
Time point: 1899.0 | PatientsSeen: 10.0
Time point: 2085.0 | PatientsSeen: 11.0
Time point: 2271.0 | PatientsSeen: 12.0
Time point: 2457.0 | PatientsSeen: 13.0
Time point: 2643.0 | PatientsSeen: 14.0
Time point: 2829.0 | PatientsSeen: 15.0
Time point: 3015.0 | PatientsSeen: 16.0
Time point: 3201.0 | PatientsSeen: 17.0
