Time point: 246.0 | PatientsSeen: 1.0
Time point: 432.0 | PatientsSeen: 2.0
Time point: 618.0 | PatientsSeen: 3.0
Time point: 804.0 | PatientsSeen: 4.0
Time point: 990.0 | PatientsSeen: 5.0
Time point: 1176.0 | PatientsSeen: 6.0
Time point: 1362.0 | PatientsSeen: 7.0
Time point: 1548.0 | PatientsSeen: 8.0
Time point: 1734.0 | PatientsSeen: 9.0
Time point: 1920.0 | PatientsSeen: 10.0
Time point: 2106.0 | PatientsSeen: 11.0
Time point: 2292.0 | PatientsSeen: 12.0
Time point: 2478.0 | PatientsSeen: 13.0
Time point: 2664.0 | PatientsSeen: 14.0
Time point: 2850.0 | PatientsSeen: 15.0
Time point: 3036.0 | PatientsSeen: 16.0
Time point: 3222.0 | PatientsSeen: 17.0
Time point: 3408.0 | PatientsSeen: 18.0
Time point: 3594.0 | PatientsSeen: 19.0
Time point: 3780.0 | PatientsSeen: 20.0
Time point: 3966.0 | PatientsSeen: 21.0
Time point: 4152.0 | PatientsSeen: 22.0
Time point: 4338.0 | PatientsSeen: 23.0
Time point: 4524.0 | PatientsSeen: 24.0
Time point: 4710.0 | PatientsSeen: 25.0
Time point: 4896.0 | PatientsSeen: 26.0
Time point: 5082.0 | PatientsSeen: 27.0
Time point: 5268.0 | PatientsSeen: 28.0
Time point: 5454.0 | PatientsSeen: 29.0
Time point: 5640.0 | PatientsSeen: 30.0
Time point: 5826.0 | PatientsSeen: 31.0
Time point: 6012.0 | PatientsSeen: 32.0
Time point: 6198.0 | PatientsSeen: 33.0
Time point: 6384.0 | PatientsSeen: 34.0
Time point: 6570.0 | PatientsSeen: 35.0
Time point: 6756.0 | PatientsSeen: 36.0
Time point: 6942.0 | PatientsSeen: 37.0
Time point: 7128.0 | PatientsSeen: 38.0
Time point: 7314.0 | PatientsSeen: 39.0
Time point: 7500.0 | PatientsSeen: 40.0
Time point: 7686.0 | PatientsSeen: 41.0
Time point: 7872.0 | PatientsSeen: 42.0
Time point: 8058.0 | PatientsSeen: 43.0
Time point: 8244.0 | PatientsSeen: 44.0
Time point: 8430.0 | PatientsSeen: 45.0
Time point: 8616.0 | PatientsSeen: 46.0
Time point: 8802.0 | PatientsSeen: 47.0
Time point: 8988.0 | PatientsSeen: 48.0
Time point: 9174.0 | PatientsSeen: 49.0
Time point: 9360.0 | PatientsSeen: 50.0
Time point: 9546.0 | PatientsSeen: 51.0
Time point: 9732.0 | PatientsSeen: 52.0
Time point: 9918.0 | PatientsSeen: 53.0
Time point: 10104.0 | PatientsSeen: 54.0
Time point: 10290.0 | PatientsSeen: 55.0
Time point: 10476.0 | PatientsSeen: 56.0
Time point: 10662.0 | PatientsSeen: 57.0
Time point: 10848.0 | PatientsSeen: 58.0
Time point: 11034.0 | PatientsSeen: 59.0
Time point: 11220.0 | PatientsSeen: 60.0
Time point: 11406.0 | PatientsSeen: 61.0
Time point: 11592.0 | PatientsSeen: 62.0
Time point: 11778.0 | PatientsSeen: 63.0
Time point: 11964.0 | PatientsSeen: 64.0
Time point: 12150.0 | PatientsSeen: 65.0
Time point: 12336.0 | PatientsSeen: 66.0
Time point: 12522.0 | PatientsSeen: 67.0
Time point: 12708.0 | PatientsSeen: 68.0
Time point: 12894.0 | PatientsSeen: 69.0
Time point: 13080.0 | PatientsSeen: 70.0
Time point: 13266.0 | PatientsSeen: 71.0
Time point: 13452.0 | PatientsSeen: 72.0
