Time point: 202.0 | PatientsSeen: 1.0
Time point: 244.0 | PatientsSeen: 2.0
Time point: 300.0 | PatientsSeen: 3.0
Time point: 361.0 | PatientsSeen: 4.0
Time point: 424.0 | PatientsSeen: 5.0
Time point: 486.0 | PatientsSeen: 6.0
Time point: 550.0 | PatientsSeen: 7.0
Time point: 613.0 | PatientsSeen: 8.0
Time point: 655.0 | PatientsSeen: 9.0
Time point: 697.0 | PatientsSeen: 10.0
Time point: 743.0 | PatientsSeen: 11.0
Time point: 802.0 | PatientsSeen: 12.0
Time point: 864.0 | PatientsSeen: 13.0
Time point: 928.0 | PatientsSeen: 14.0
Time point: 991.0 | PatientsSeen: 15.0
Time point: 1053.0 | PatientsSeen: 16.0
Time point: 1117.0 | PatientsSeen: 17.0
Time point: 1180.0 | PatientsSeen: 18.0
Time point: 1242.0 | PatientsSeen: 19.0
Time point: 1305.0 | PatientsSeen: 20.0
Time point: 1368.0 | PatientsSeen: 21.0
Time point: 1433.0 | PatientsSeen: 22.0
Time point: 1495.0 | PatientsSeen: 23.0
Time point: 1557.0 | PatientsSeen: 24.0
Time point: 1620.0 | PatientsSeen: 25.0
Time point: 1682.0 | PatientsSeen: 26.0
Time point: 1747.0 | PatientsSeen: 27.0
Time point: 1809.0 | PatientsSeen: 28.0
Time point: 1873.0 | PatientsSeen: 29.0
Time point: 1934.0 | PatientsSeen: 30.0
Time point: 2000.0 | PatientsSeen: 31.0
Time point: 2062.0 | PatientsSeen: 32.0
Time point: 2125.0 | PatientsSeen: 33.0
Time point: 2186.0 | PatientsSeen: 34.0
Time point: 2251.0 | PatientsSeen: 35.0
Time point: 2311.0 | PatientsSeen: 36.0
Time point: 2377.0 | PatientsSeen: 37.0
Time point: 2440.0 | PatientsSeen: 38.0
Time point: 2503.0 | PatientsSeen: 39.0
Time point: 2565.0 | PatientsSeen: 40.0
Time point: 2629.0 | PatientsSeen: 41.0
Time point: 2690.0 | PatientsSeen: 42.0
Time point: 2753.0 | PatientsSeen: 43.0
Time point: 2816.0 | PatientsSeen: 44.0
Time point: 2880.0 | PatientsSeen: 45.0
Time point: 2942.0 | PatientsSeen: 46.0
Time point: 3006.0 | PatientsSeen: 47.0
Time point: 3069.0 | PatientsSeen: 48.0
Time point: 3134.0 | PatientsSeen: 49.0
Time point: 3196.0 | PatientsSeen: 50.0
Time point: 3260.0 | PatientsSeen: 51.0
Time point: 3321.0 | PatientsSeen: 52.0
Time point: 3384.0 | PatientsSeen: 53.0
Time point: 3448.0 | PatientsSeen: 54.0
Time point: 3510.0 | PatientsSeen: 55.0
Time point: 3575.0 | PatientsSeen: 56.0
Time point: 3636.0 | PatientsSeen: 57.0
Time point: 3699.0 | PatientsSeen: 58.0
Time point: 3762.0 | PatientsSeen: 59.0
Time point: 3826.0 | PatientsSeen: 60.0
Time point: 3888.0 | PatientsSeen: 61.0
Time point: 3951.0 | PatientsSeen: 62.0
Time point: 4015.0 | PatientsSeen: 63.0
Time point: 4077.0 | PatientsSeen: 64.0
Time point: 4140.0 | PatientsSeen: 65.0
Time point: 4203.0 | PatientsSeen: 66.0
Time point: 4266.0 | PatientsSeen: 67.0
Time point: 4329.0 | PatientsSeen: 68.0
Time point: 4394.0 | PatientsSeen: 69.0
Time point: 4456.0 | PatientsSeen: 70.0
Time point: 4519.0 | PatientsSeen: 71.0
Time point: 4581.0 | PatientsSeen: 72.0
Time point: 4644.0 | PatientsSeen: 73.0
Time point: 4707.0 | PatientsSeen: 74.0
Time point: 4770.0 | PatientsSeen: 75.0
Time point: 4834.0 | PatientsSeen: 76.0
Time point: 4896.0 | PatientsSeen: 77.0
Time point: 4959.0 | PatientsSeen: 78.0
Time point: 5021.0 | PatientsSeen: 79.0
Time point: 5086.0 | PatientsSeen: 80.0
Time point: 5148.0 | PatientsSeen: 81.0
