Time point: 245.0 | PatientsSeen: 1.0
Time point: 431.0 | PatientsSeen: 2.0
Time point: 617.0 | PatientsSeen: 3.0
Time point: 802.0 | PatientsSeen: 4.0
Time point: 988.0 | PatientsSeen: 5.0
Time point: 1174.0 | PatientsSeen: 6.0
Time point: 1360.0 | PatientsSeen: 7.0
Time point: 1546.0 | PatientsSeen: 8.0
Time point: 1732.0 | PatientsSeen: 9.0
Time point: 1917.0 | PatientsSeen: 10.0
Time point: 2103.0 | PatientsSeen: 11.0
Time point: 2289.0 | PatientsSeen: 12.0
Time point: 2474.0 | PatientsSeen: 13.0
Time point: 2660.0 | PatientsSeen: 14.0
Time point: 2846.0 | PatientsSeen: 15.0
Time point: 3031.0 | PatientsSeen: 16.0
Time point: 3217.0 | PatientsSeen: 17.0
Time point: 3403.0 | PatientsSeen: 18.0
Time point: 3589.0 | PatientsSeen: 19.0
Time point: 3774.0 | PatientsSeen: 20.0
Time point: 3959.0 | PatientsSeen: 21.0
Time point: 4144.0 | PatientsSeen: 22.0
Time point: 4329.0 | PatientsSeen: 23.0
Time point: 4515.0 | PatientsSeen: 24.0
Time point: 4701.0 | PatientsSeen: 25.0
Time point: 4886.0 | PatientsSeen: 26.0
Time point: 5072.0 | PatientsSeen: 27.0
Time point: 5257.0 | PatientsSeen: 28.0
