Time point: 242.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1080.0 | PatientsSeen: 5.0
Time point: 1290.0 | PatientsSeen: 6.0
Time point: 1500.0 | PatientsSeen: 7.0
Time point: 1709.0 | PatientsSeen: 8.0
Time point: 1920.0 | PatientsSeen: 9.0
Time point: 2129.0 | PatientsSeen: 10.0
Time point: 2339.0 | PatientsSeen: 11.0
Time point: 2548.0 | PatientsSeen: 12.0
Time point: 2758.0 | PatientsSeen: 13.0
Time point: 2968.0 | PatientsSeen: 14.0
Time point: 3178.0 | PatientsSeen: 15.0
Time point: 3387.0 | PatientsSeen: 16.0
Time point: 3596.0 | PatientsSeen: 17.0
Time point: 3807.0 | PatientsSeen: 18.0
Time point: 4017.0 | PatientsSeen: 19.0
Time point: 4227.0 | PatientsSeen: 20.0
