Time point: 209.0 | PatientsSeen: 1.0
Time point: 260.0 | PatientsSeen: 2.0
Time point: 356.0 | PatientsSeen: 3.0
Time point: 418.0 | PatientsSeen: 4.0
Time point: 539.0 | PatientsSeen: 5.0
Time point: 661.0 | PatientsSeen: 6.0
Time point: 905.0 | PatientsSeen: 7.0
Time point: 1210.0 | PatientsSeen: 8.0
Time point: 1334.0 | PatientsSeen: 9.0
Time point: 1515.0 | PatientsSeen: 10.0
Time point: 1697.0 | PatientsSeen: 11.0
Time point: 1881.0 | PatientsSeen: 12.0
Time point: 2003.0 | PatientsSeen: 13.0
Time point: 2063.0 | PatientsSeen: 14.0
Time point: 2308.0 | PatientsSeen: 15.0
Time point: 2369.0 | PatientsSeen: 16.0
Time point: 2431.0 | PatientsSeen: 17.0
Time point: 2857.0 | PatientsSeen: 18.0
Time point: 2917.0 | PatientsSeen: 19.0
Time point: 3102.0 | PatientsSeen: 20.0
Time point: 3163.0 | PatientsSeen: 21.0
Time point: 3406.0 | PatientsSeen: 22.0
Time point: 3466.0 | PatientsSeen: 23.0
Time point: 3648.0 | PatientsSeen: 24.0
