Time point: 224.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1273.0 | PatientsSeen: 6.0
Time point: 1482.0 | PatientsSeen: 7.0
Time point: 1691.0 | PatientsSeen: 8.0
Time point: 1899.0 | PatientsSeen: 9.0
Time point: 2109.0 | PatientsSeen: 10.0
Time point: 2320.0 | PatientsSeen: 11.0
Time point: 2529.0 | PatientsSeen: 12.0
Time point: 2737.0 | PatientsSeen: 13.0
Time point: 2946.0 | PatientsSeen: 14.0
Time point: 3156.0 | PatientsSeen: 15.0
Time point: 3365.0 | PatientsSeen: 16.0
Time point: 3574.0 | PatientsSeen: 17.0
Time point: 3783.0 | PatientsSeen: 18.0
Time point: 3993.0 | PatientsSeen: 19.0
Time point: 4203.0 | PatientsSeen: 20.0
Time point: 4412.0 | PatientsSeen: 21.0
Time point: 4622.0 | PatientsSeen: 22.0
Time point: 4831.0 | PatientsSeen: 23.0
