Time point: 165.0 | PatientsSeen: 1.0
Time point: 207.0 | PatientsSeen: 2.0
Time point: 251.0 | PatientsSeen: 3.0
Time point: 299.0 | PatientsSeen: 4.0
Time point: 360.0 | PatientsSeen: 5.0
Time point: 401.0 | PatientsSeen: 6.0
Time point: 444.0 | PatientsSeen: 7.0
Time point: 508.0 | PatientsSeen: 8.0
Time point: 571.0 | PatientsSeen: 9.0
Time point: 613.0 | PatientsSeen: 10.0
Time point: 656.0 | PatientsSeen: 11.0
Time point: 717.0 | PatientsSeen: 12.0
Time point: 780.0 | PatientsSeen: 13.0
Time point: 844.0 | PatientsSeen: 14.0
Time point: 906.0 | PatientsSeen: 15.0
Time point: 952.0 | PatientsSeen: 16.0
Time point: 1011.0 | PatientsSeen: 17.0
Time point: 1073.0 | PatientsSeen: 18.0
Time point: 1139.0 | PatientsSeen: 19.0
Time point: 1201.0 | PatientsSeen: 20.0
Time point: 1262.0 | PatientsSeen: 21.0
Time point: 1326.0 | PatientsSeen: 22.0
Time point: 1388.0 | PatientsSeen: 23.0
Time point: 1453.0 | PatientsSeen: 24.0
Time point: 1517.0 | PatientsSeen: 25.0
Time point: 1578.0 | PatientsSeen: 26.0
Time point: 1642.0 | PatientsSeen: 27.0
Time point: 1704.0 | PatientsSeen: 28.0
Time point: 1767.0 | PatientsSeen: 29.0
Time point: 1829.0 | PatientsSeen: 30.0
Time point: 1893.0 | PatientsSeen: 31.0
Time point: 1956.0 | PatientsSeen: 32.0
Time point: 2019.0 | PatientsSeen: 33.0
Time point: 2084.0 | PatientsSeen: 34.0
Time point: 2145.0 | PatientsSeen: 35.0
Time point: 2208.0 | PatientsSeen: 36.0
Time point: 2271.0 | PatientsSeen: 37.0
Time point: 2335.0 | PatientsSeen: 38.0
Time point: 2399.0 | PatientsSeen: 39.0
Time point: 2462.0 | PatientsSeen: 40.0
Time point: 2523.0 | PatientsSeen: 41.0
Time point: 2588.0 | PatientsSeen: 42.0
Time point: 2649.0 | PatientsSeen: 43.0
Time point: 2712.0 | PatientsSeen: 44.0
Time point: 2777.0 | PatientsSeen: 45.0
Time point: 2837.0 | PatientsSeen: 46.0
Time point: 2903.0 | PatientsSeen: 47.0
Time point: 2965.0 | PatientsSeen: 48.0
Time point: 3028.0 | PatientsSeen: 49.0
Time point: 3091.0 | PatientsSeen: 50.0
