Time point: 134.0 | PatientsSeen: 1.0
Time point: 175.0 | PatientsSeen: 2.0
Time point: 217.0 | PatientsSeen: 3.0
Time point: 259.0 | PatientsSeen: 4.0
Time point: 300.0 | PatientsSeen: 5.0
Time point: 342.0 | PatientsSeen: 6.0
Time point: 384.0 | PatientsSeen: 7.0
Time point: 425.0 | PatientsSeen: 8.0
Time point: 467.0 | PatientsSeen: 9.0
Time point: 509.0 | PatientsSeen: 10.0
Time point: 550.0 | PatientsSeen: 11.0
Time point: 592.0 | PatientsSeen: 12.0
Time point: 633.0 | PatientsSeen: 13.0
Time point: 675.0 | PatientsSeen: 14.0
Time point: 716.0 | PatientsSeen: 15.0
Time point: 763.0 | PatientsSeen: 16.0
Time point: 812.0 | PatientsSeen: 17.0
Time point: 858.0 | PatientsSeen: 18.0
