Time point: 261.0 | PatientsSeen: 1.0
Time point: 471.0 | PatientsSeen: 2.0
Time point: 681.0 | PatientsSeen: 3.0
Time point: 892.0 | PatientsSeen: 4.0
Time point: 1103.0 | PatientsSeen: 5.0
Time point: 1314.0 | PatientsSeen: 6.0
Time point: 1525.0 | PatientsSeen: 7.0
Time point: 1734.0 | PatientsSeen: 8.0
Time point: 1946.0 | PatientsSeen: 9.0
Time point: 2157.0 | PatientsSeen: 10.0
Time point: 2369.0 | PatientsSeen: 11.0
Time point: 2582.0 | PatientsSeen: 12.0
Time point: 2792.0 | PatientsSeen: 13.0
Time point: 3005.0 | PatientsSeen: 14.0
