Time point: 242.0 | PatientsSeen: 1.0
Time point: 428.0 | PatientsSeen: 2.0
Time point: 614.0 | PatientsSeen: 3.0
Time point: 800.0 | PatientsSeen: 4.0
Time point: 986.0 | PatientsSeen: 5.0
Time point: 1172.0 | PatientsSeen: 6.0
Time point: 1357.0 | PatientsSeen: 7.0
Time point: 1543.0 | PatientsSeen: 8.0
Time point: 1729.0 | PatientsSeen: 9.0
Time point: 1915.0 | PatientsSeen: 10.0
Time point: 2101.0 | PatientsSeen: 11.0
Time point: 2287.0 | PatientsSeen: 12.0
Time point: 2473.0 | PatientsSeen: 13.0
Time point: 2659.0 | PatientsSeen: 14.0
Time point: 2844.0 | PatientsSeen: 15.0
Time point: 3030.0 | PatientsSeen: 16.0
Time point: 3215.0 | PatientsSeen: 17.0
Time point: 3401.0 | PatientsSeen: 18.0
Time point: 3587.0 | PatientsSeen: 19.0
Time point: 3772.0 | PatientsSeen: 20.0
Time point: 3958.0 | PatientsSeen: 21.0
