Time point: 210.0 | PatientsSeen: 1.0
Time point: 396.0 | PatientsSeen: 2.0
Time point: 582.0 | PatientsSeen: 3.0
Time point: 767.0 | PatientsSeen: 4.0
Time point: 953.0 | PatientsSeen: 5.0
Time point: 1139.0 | PatientsSeen: 6.0
Time point: 1324.0 | PatientsSeen: 7.0
Time point: 1510.0 | PatientsSeen: 8.0
Time point: 1695.0 | PatientsSeen: 9.0
Time point: 1881.0 | PatientsSeen: 10.0
Time point: 2067.0 | PatientsSeen: 11.0
Time point: 2253.0 | PatientsSeen: 12.0
Time point: 2438.0 | PatientsSeen: 13.0
Time point: 2623.0 | PatientsSeen: 14.0
Time point: 2808.0 | PatientsSeen: 15.0
Time point: 2994.0 | PatientsSeen: 16.0
Time point: 3180.0 | PatientsSeen: 17.0
Time point: 3366.0 | PatientsSeen: 18.0
Time point: 3552.0 | PatientsSeen: 19.0
Time point: 3738.0 | PatientsSeen: 20.0
Time point: 3924.0 | PatientsSeen: 21.0
Time point: 4110.0 | PatientsSeen: 22.0
Time point: 4296.0 | PatientsSeen: 23.0
Time point: 4482.0 | PatientsSeen: 24.0
Time point: 4668.0 | PatientsSeen: 25.0
Time point: 4854.0 | PatientsSeen: 26.0
Time point: 5040.0 | PatientsSeen: 27.0
Time point: 5225.0 | PatientsSeen: 28.0
