Time point: 208.0 | PatientsSeen: 1.0
Time point: 393.0 | PatientsSeen: 2.0
Time point: 579.0 | PatientsSeen: 3.0
Time point: 765.0 | PatientsSeen: 4.0
Time point: 951.0 | PatientsSeen: 5.0
Time point: 1137.0 | PatientsSeen: 6.0
Time point: 1323.0 | PatientsSeen: 7.0
Time point: 1508.0 | PatientsSeen: 8.0
Time point: 1694.0 | PatientsSeen: 9.0
Time point: 1880.0 | PatientsSeen: 10.0
Time point: 2066.0 | PatientsSeen: 11.0
Time point: 2252.0 | PatientsSeen: 12.0
Time point: 2438.0 | PatientsSeen: 13.0
Time point: 2624.0 | PatientsSeen: 14.0
Time point: 2810.0 | PatientsSeen: 15.0
Time point: 2996.0 | PatientsSeen: 16.0
Time point: 3182.0 | PatientsSeen: 17.0
Time point: 3368.0 | PatientsSeen: 18.0
Time point: 3554.0 | PatientsSeen: 19.0
Time point: 3740.0 | PatientsSeen: 20.0
Time point: 3925.0 | PatientsSeen: 21.0
Time point: 4111.0 | PatientsSeen: 22.0
Time point: 4297.0 | PatientsSeen: 23.0
Time point: 4483.0 | PatientsSeen: 24.0
Time point: 4668.0 | PatientsSeen: 25.0
Time point: 4854.0 | PatientsSeen: 26.0
