Time point: 224.0 | PatientsSeen: 1.0
Time point: 410.0 | PatientsSeen: 2.0
Time point: 596.0 | PatientsSeen: 3.0
Time point: 782.0 | PatientsSeen: 4.0
Time point: 968.0 | PatientsSeen: 5.0
Time point: 1154.0 | PatientsSeen: 6.0
Time point: 1340.0 | PatientsSeen: 7.0
Time point: 1526.0 | PatientsSeen: 8.0
Time point: 1712.0 | PatientsSeen: 9.0
Time point: 1898.0 | PatientsSeen: 10.0
Time point: 2084.0 | PatientsSeen: 11.0
Time point: 2270.0 | PatientsSeen: 12.0
Time point: 2456.0 | PatientsSeen: 13.0
Time point: 2642.0 | PatientsSeen: 14.0
Time point: 2828.0 | PatientsSeen: 15.0
Time point: 3014.0 | PatientsSeen: 16.0
Time point: 3200.0 | PatientsSeen: 17.0
Time point: 3386.0 | PatientsSeen: 18.0
Time point: 3572.0 | PatientsSeen: 19.0
