Time point: 270.0 | PatientsSeen: 1.0
Time point: 480.0 | PatientsSeen: 2.0
Time point: 692.0 | PatientsSeen: 3.0
Time point: 903.0 | PatientsSeen: 4.0
Time point: 1113.0 | PatientsSeen: 5.0
Time point: 1325.0 | PatientsSeen: 6.0
Time point: 1535.0 | PatientsSeen: 7.0
Time point: 1745.0 | PatientsSeen: 8.0
Time point: 1955.0 | PatientsSeen: 9.0
Time point: 2166.0 | PatientsSeen: 10.0
Time point: 2376.0 | PatientsSeen: 11.0
Time point: 2587.0 | PatientsSeen: 12.0
Time point: 2797.0 | PatientsSeen: 13.0
Time point: 3008.0 | PatientsSeen: 14.0
Time point: 3219.0 | PatientsSeen: 15.0
Time point: 3429.0 | PatientsSeen: 16.0
Time point: 3639.0 | PatientsSeen: 17.0
Time point: 3850.0 | PatientsSeen: 18.0
Time point: 4061.0 | PatientsSeen: 19.0
