Time point: 225.0 | PatientsSeen: 1.0
Time point: 410.0 | PatientsSeen: 2.0
Time point: 596.0 | PatientsSeen: 3.0
Time point: 782.0 | PatientsSeen: 4.0
Time point: 967.0 | PatientsSeen: 5.0
Time point: 1153.0 | PatientsSeen: 6.0
Time point: 1339.0 | PatientsSeen: 7.0
Time point: 1525.0 | PatientsSeen: 8.0
Time point: 1711.0 | PatientsSeen: 9.0
Time point: 1896.0 | PatientsSeen: 10.0
Time point: 2082.0 | PatientsSeen: 11.0
Time point: 2268.0 | PatientsSeen: 12.0
Time point: 2454.0 | PatientsSeen: 13.0
Time point: 2640.0 | PatientsSeen: 14.0
Time point: 2825.0 | PatientsSeen: 15.0
Time point: 3011.0 | PatientsSeen: 16.0
Time point: 3197.0 | PatientsSeen: 17.0
Time point: 3383.0 | PatientsSeen: 18.0
Time point: 3568.0 | PatientsSeen: 19.0
Time point: 3753.0 | PatientsSeen: 20.0
Time point: 3939.0 | PatientsSeen: 21.0
Time point: 4124.0 | PatientsSeen: 22.0
Time point: 4310.0 | PatientsSeen: 23.0
Time point: 4496.0 | PatientsSeen: 24.0
Time point: 4682.0 | PatientsSeen: 25.0
Time point: 4868.0 | PatientsSeen: 26.0
Time point: 5054.0 | PatientsSeen: 27.0
Time point: 5240.0 | PatientsSeen: 28.0
Time point: 5425.0 | PatientsSeen: 29.0
Time point: 5611.0 | PatientsSeen: 30.0
Time point: 5797.0 | PatientsSeen: 31.0
Time point: 5983.0 | PatientsSeen: 32.0
Time point: 6169.0 | PatientsSeen: 33.0
Time point: 6354.0 | PatientsSeen: 34.0
Time point: 6540.0 | PatientsSeen: 35.0
Time point: 6726.0 | PatientsSeen: 36.0
Time point: 6912.0 | PatientsSeen: 37.0
Time point: 7097.0 | PatientsSeen: 38.0
Time point: 7283.0 | PatientsSeen: 39.0
