Time point: 265.0 | PatientsSeen: 1.0
Time point: 475.0 | PatientsSeen: 2.0
Time point: 685.0 | PatientsSeen: 3.0
Time point: 895.0 | PatientsSeen: 4.0
Time point: 1106.0 | PatientsSeen: 5.0
Time point: 1316.0 | PatientsSeen: 6.0
Time point: 1526.0 | PatientsSeen: 7.0
Time point: 1737.0 | PatientsSeen: 8.0
Time point: 1949.0 | PatientsSeen: 9.0
Time point: 2160.0 | PatientsSeen: 10.0
Time point: 2370.0 | PatientsSeen: 11.0
Time point: 2579.0 | PatientsSeen: 12.0
Time point: 2789.0 | PatientsSeen: 13.0
Time point: 2998.0 | PatientsSeen: 14.0
Time point: 3207.0 | PatientsSeen: 15.0
Time point: 3417.0 | PatientsSeen: 16.0
Time point: 3628.0 | PatientsSeen: 17.0
Time point: 3838.0 | PatientsSeen: 18.0
Time point: 4048.0 | PatientsSeen: 19.0
Time point: 4258.0 | PatientsSeen: 20.0
