Time point: 63.0 | Happiness: 1.0
Time point: 86.0 | Happiness: 2.0
Time point: 117.0 | Happiness: 3.0
Time point: 133.0 | Happiness: 4.0
Time point: 165.0 | Happiness: 5.0
Time point: 181.0 | Happiness: 6.0
Time point: 196.0 | Happiness: 7.0
Time point: 223.0 | Happiness: 8.0
Time point: 254.0 | Happiness: 9.0
Time point: 269.0 | Happiness: 10.0
Time point: 284.0 | Happiness: 11.0
Time point: 299.0 | Happiness: 12.0
Time point: 315.0 | Happiness: 13.0
Time point: 332.0 | Happiness: 14.0
Time point: 347.0 | Happiness: 15.0
Time point: 363.0 | Happiness: 16.0
Time point: 393.0 | Happiness: 17.0
Time point: 409.0 | Happiness: 18.0
Time point: 425.0 | Happiness: 19.0
Time point: 440.0 | Happiness: 20.0
Time point: 470.0 | Happiness: 21.0
Time point: 486.0 | Happiness: 22.0
Time point: 510.0 | Happiness: 23.0
Time point: 526.0 | Happiness: 24.0
Time point: 554.0 | Happiness: 25.0
Time point: 569.0 | Happiness: 26.0
Time point: 585.0 | Happiness: 27.0
Time point: 610.0 | Happiness: 28.0
Time point: 637.0 | Happiness: 29.0
