Time point: 315.0 | PatientsSeen: 1.0
Time point: 363.0 | PatientsSeen: 2.0
Time point: 423.0 | PatientsSeen: 3.0
Time point: 485.0 | PatientsSeen: 4.0
Time point: 528.0 | PatientsSeen: 5.0
Time point: 591.0 | PatientsSeen: 6.0
Time point: 655.0 | PatientsSeen: 7.0
Time point: 702.0 | PatientsSeen: 8.0
Time point: 745.0 | PatientsSeen: 9.0
Time point: 789.0 | PatientsSeen: 10.0
Time point: 833.0 | PatientsSeen: 11.0
Time point: 888.0 | PatientsSeen: 12.0
Time point: 947.0 | PatientsSeen: 13.0
Time point: 1012.0 | PatientsSeen: 14.0
Time point: 1072.0 | PatientsSeen: 15.0
Time point: 1121.0 | PatientsSeen: 16.0
Time point: 1163.0 | PatientsSeen: 17.0
Time point: 1221.0 | PatientsSeen: 18.0
Time point: 1285.0 | PatientsSeen: 19.0
Time point: 1346.0 | PatientsSeen: 20.0
Time point: 1409.0 | PatientsSeen: 21.0
Time point: 1472.0 | PatientsSeen: 22.0
Time point: 1537.0 | PatientsSeen: 23.0
Time point: 1601.0 | PatientsSeen: 24.0
Time point: 1661.0 | PatientsSeen: 25.0
Time point: 1724.0 | PatientsSeen: 26.0
Time point: 1788.0 | PatientsSeen: 27.0
Time point: 1852.0 | PatientsSeen: 28.0
Time point: 1915.0 | PatientsSeen: 29.0
Time point: 1977.0 | PatientsSeen: 30.0
Time point: 2041.0 | PatientsSeen: 31.0
Time point: 2104.0 | PatientsSeen: 32.0
Time point: 2165.0 | PatientsSeen: 33.0
Time point: 2230.0 | PatientsSeen: 34.0
Time point: 2293.0 | PatientsSeen: 35.0
Time point: 2357.0 | PatientsSeen: 36.0
Time point: 2418.0 | PatientsSeen: 37.0
Time point: 2482.0 | PatientsSeen: 38.0
Time point: 2544.0 | PatientsSeen: 39.0
Time point: 2606.0 | PatientsSeen: 40.0
Time point: 2672.0 | PatientsSeen: 41.0
Time point: 2733.0 | PatientsSeen: 42.0
Time point: 2797.0 | PatientsSeen: 43.0
Time point: 2859.0 | PatientsSeen: 44.0
Time point: 2922.0 | PatientsSeen: 45.0
Time point: 2985.0 | PatientsSeen: 46.0
Time point: 3048.0 | PatientsSeen: 47.0
Time point: 3111.0 | PatientsSeen: 48.0
Time point: 3174.0 | PatientsSeen: 49.0
Time point: 3236.0 | PatientsSeen: 50.0
Time point: 3300.0 | PatientsSeen: 51.0
Time point: 3363.0 | PatientsSeen: 52.0
Time point: 3427.0 | PatientsSeen: 53.0
Time point: 3490.0 | PatientsSeen: 54.0
Time point: 3553.0 | PatientsSeen: 55.0
Time point: 3617.0 | PatientsSeen: 56.0
Time point: 3678.0 | PatientsSeen: 57.0
Time point: 3741.0 | PatientsSeen: 58.0
Time point: 3803.0 | PatientsSeen: 59.0
Time point: 3867.0 | PatientsSeen: 60.0
