Time point: 207.0 | PatientsSeen: 1.0
Time point: 392.0 | PatientsSeen: 2.0
Time point: 578.0 | PatientsSeen: 3.0
Time point: 763.0 | PatientsSeen: 4.0
Time point: 948.0 | PatientsSeen: 5.0
Time point: 1134.0 | PatientsSeen: 6.0
Time point: 1320.0 | PatientsSeen: 7.0
Time point: 1505.0 | PatientsSeen: 8.0
Time point: 1691.0 | PatientsSeen: 9.0
Time point: 1876.0 | PatientsSeen: 10.0
Time point: 2062.0 | PatientsSeen: 11.0
Time point: 2248.0 | PatientsSeen: 12.0
Time point: 2434.0 | PatientsSeen: 13.0
Time point: 2620.0 | PatientsSeen: 14.0
Time point: 2805.0 | PatientsSeen: 15.0
Time point: 2991.0 | PatientsSeen: 16.0
Time point: 3177.0 | PatientsSeen: 17.0
Time point: 3362.0 | PatientsSeen: 18.0
Time point: 3548.0 | PatientsSeen: 19.0
Time point: 3734.0 | PatientsSeen: 20.0
Time point: 3920.0 | PatientsSeen: 21.0
