Time point: 240.0 | PatientsSeen: 1.0
Time point: 450.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1081.0 | PatientsSeen: 5.0
Time point: 1291.0 | PatientsSeen: 6.0
Time point: 1502.0 | PatientsSeen: 7.0
Time point: 1713.0 | PatientsSeen: 8.0
Time point: 1924.0 | PatientsSeen: 9.0
Time point: 2134.0 | PatientsSeen: 10.0
Time point: 2344.0 | PatientsSeen: 11.0
Time point: 2554.0 | PatientsSeen: 12.0
Time point: 2765.0 | PatientsSeen: 13.0
Time point: 2974.0 | PatientsSeen: 14.0
